"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Scmh1",768.331297307068,-0.176913615845478,0.0672597599756238,-2.63030400211947,0.00853085448514938,0.479955309524745
"Tfe3",1192.21088700117,-0.166024004423558,0.0555035495711706,-2.99123219517106,0.00277854131930107,0.358769586781625
"Itgb2",487.22375645218,-0.902224589784795,0.305155869807756,-2.95660244173964,0.00311048886270537,0.363733745911785
"Myg1",584.413035698505,0.19633201293794,0.0700281596145912,2.80361520306229,0.00505331754711883,0.419373222100572
"Rarg",2212.30879495167,-0.202648115822185,0.0749584523580653,-2.70347251640369,0.00686191223910468,0.47063388723121
"Gstt1",1330.20443160137,0.446190542226629,0.156007832331476,2.86005218814007,0.00423571296986976,0.385912294337828
"Abcf3",1586.57642282386,0.124814652676712,0.047770723477963,2.612785480092,0.00898076527851627,0.484172317237632
"Gcdh",866.491844381462,0.223548694396399,0.0746618485917433,2.99414893433433,0.00275211568313715,0.358769586781625
"Il7r",51.3539077961808,-1.62756257131922,0.504415730259857,-3.22662929342183,0.0012525762662773,0.271847566497098
"Rsl1d1",1543.24587239917,0.18144442111823,0.0550331365963486,3.29700308468823,0.000977224279523435,0.263908654518002
"Zfp184",36.5801655213415,0.527429974900368,0.203359086193072,2.59358942240533,0.00949798361045952,0.490475579614748
"Dio2",33.3904623338526,-1.29521821772763,0.502682541354529,-2.57661269523612,0.00997736755983378,0.492028885143841
"Arid1a",2447.78759665972,-0.22834020674427,0.084523130719166,-2.70151146557675,0.00690251004087186,0.47063388723121
"Htr3b",2.156686966287,2.76220023245846,1.06565217767048,2.59202795277595,0.00954120188857952,NA
"Rps25",13214.0250345472,0.408829941718577,0.152777405346383,2.67598432367444,0.00745101301665515,0.472588945418477
"Mogat1",41.9850672052499,1.50532923480792,0.52511660863105,2.86665706257554,0.00414832260075558,0.384611900588525
"Rpa3",357.695157482709,0.396491982452331,0.12131579732108,3.26826341834904,0.00108209601762309,0.263908654518002
"Retn",3430.03771638188,1.23048281066127,0.46094212201925,2.66949526172808,0.00759653449414343,0.472588945418477
"Aldh1a2",86.4369320200448,-1.28444697655942,0.457775938147543,-2.80584204962174,0.00501852857313041,0.418826320599171
"Dguok",581.996470773821,0.191695148479707,0.0699445078596974,2.74067477698508,0.00613131629890818,0.461818712131481
