"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Dynlt1c",225.587368042083,-0.307368687656233,0.0989629825237749,-3.10589555627419,0.00189703707564047,0.332561460987977
"Sema4f",51.2324949623958,-1.02004719311565,0.395851046811211,-2.57684601653239,0.00997063565573222,0.413882966157204
"Icam4",10.820345004571,0.919087306895521,0.341893194573221,2.68822931103616,0.00718320488720837,0.394073725302307
"Vps9d1",476.292904052637,-0.289552628748387,0.0958441520639246,-3.02107768197757,0.00251876730963477,0.337419337940025
"Gramd1a",1911.16708357395,-0.387424018955729,0.123072496383848,-3.14793337536113,0.00164429165810142,0.332561460987977
"Ube2c",31.577778164486,-1.42225408091119,0.51625530575413,-2.75494327139864,0.00587023125469371,0.380581443918333
"Tmem79",16.9229695610031,-0.92702836821659,0.352723046100733,-2.62820470186074,0.00858368451982113,0.396153841659438
"Brpf1",873.374902516546,-0.141216940683971,0.0487708444857435,-2.89551969364096,0.00378531277342438,0.362377066706385
"Tcirg1",983.333543009096,-0.451467452633543,0.145741726434732,-3.09772268846921,0.00195013818757067,0.332561460987977
"Smo",2926.42733958773,0.233691686341887,0.0867215067515851,2.69473738517136,0.00704441277473074,0.394073725302307
"Cnot11",612.936274592879,-0.147543151762606,0.0510329264284304,-2.89113641110751,0.00383851467282242,0.36350240544367
"Snrnp200",4467.79128112219,0.394427294822557,0.136028690845883,2.89958899383538,0.00373652257288825,0.360530307934513
"Il7r",51.3539077961808,-1.66250353590612,0.504362365081992,-3.29624819575079,0.000979854083241461,0.316534862633417
"Ppan",345.878083345642,-0.354107818161315,0.124596809489627,-2.84202958014584,0.00448273321725605,0.370114632369524
"Zfp324",345.9307809324,0.213851050355126,0.0763142226826427,2.80224370815436,0.00507485210559673,0.377673892766193
"Srpk1",1070.11588779496,-0.193111845562684,0.0720902746662449,-2.67875030934104,0.00738974762745362,0.394073725302307
"Rrnad1",504.729737537047,-0.414963645602867,0.143833005973883,-2.8850377060062,0.00391366784633924,0.363689251728594
"Matk",50.664595002744,-0.786266794590365,0.247987597914668,-3.17058917946743,0.00152130127704199,0.332561460987977
"Cd44",990.846423185532,-0.58117384675823,0.181255658804231,-3.20637628966906,0.00134418088200662,0.332561460987977
"Crbn",1729.61171271395,0.291719951128074,0.0855811597062241,3.4086935971593,0.000652747504424992,0.30427410158128
"Cdkal1",444.914152720185,0.260249721555275,0.0872285732091247,2.98353752653209,0.00284937092174412,0.337419337940025
"Pou2f2",138.995015867745,-1.25678262567152,0.417907586151256,-3.00732187526417,0.00263560533311972,0.337419337940025
