"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Klf6",7787.19081054282,-0.204892119119476,0.0621040315875059,-3.29917581648107,0.000969691575151304,0.156228187911779
"Fap",974.324215250913,0.402383457392715,0.135417887766542,2.97142027563165,0.002964258247592,0.223170010581104
"Dnmt3l",4.98619212215679,1.64503168283966,0.61966427345407,2.65471442087517,0.00793755753574304,0.29259576046951
"Fmr1",3738.33448004144,0.638564036005773,0.19076888328006,3.34731757625442,0.000815976730231909,0.144255580727178
"Col6a1",7660.1020954828,0.557660138364598,0.174277170102906,3.199846187744,0.00137500946031837,0.176773683257007
"Lsr",234.920554558083,-0.426837455124192,0.14323202900546,-2.98004195072822,0.00288208910656475,0.222558742795328
"Sync",49.3635247159007,1.00837215743749,0.22751588848247,4.43209555237362,9.33216419257592e-06,0.016225522809492
"Cct3",3254.20699978529,-0.156309125067707,0.0590002765512375,-2.64929478647382,0.00806599414385998,0.295049342341873
"Ergic1",1972.23964391343,0.293337951982668,0.112041123394522,2.61812755080793,0.00884137498974135,0.300843014270975
"Ddx18",1088.46148785593,-0.246928831487878,0.06129018997144,-4.02884754644979,5.60509507608712e-05,0.0476524421126848
"Naglu",732.499409518494,0.280132337377002,0.0996796094900894,2.81032739604436,0.00494911270244805,0.255953129637002
"Nfix",2533.10648129393,0.379655186616028,0.13210710116144,2.87384389845989,0.0040550933430194,0.244944552054712
"Gtf2f1",1745.547288091,-0.312440895681632,0.108725649241943,-2.87366318674602,0.00405741407342441,0.244944552054712
"Plin4",16864.5099678108,1.32576383607749,0.447437463985189,2.9630148183599,0.00304641902973719,0.224147459788565
"Prkar2b",10819.5572088039,0.415847003149526,0.13228064093202,3.14367242417001,0.00166842091621252,0.189184423890533
"Ddx23",3750.30366510172,-0.186676141866339,0.0699605378500967,-2.66830627097704,0.00762347291293623,0.288668128594377
"Ncstn",2147.8675061142,0.283441324368466,0.108069474717769,2.62276952033582,0.00872182523130851,0.300843014270975
"Kpna6",1807.04727722058,0.275511606111168,0.101750177818811,2.70772604055571,0.00677459195244035,0.27878715285151
"Nob1",489.943801967188,-0.21254114320067,0.0714711906010712,-2.97380163130351,0.00294135158586933,0.223170010581104
"Ruvbl2",736.458367689367,-0.15489222193929,0.0541364623759577,-2.86114413726596,0.00422115093708754,0.247483417614163
"Mmd",6514.62733279162,1.14692186930599,0.42960845167429,2.66969112184864,0.00759210517674441,0.288003058922901
"Dnmt1",814.791306146393,0.206630612491334,0.0789538017009784,2.61710782811834,0.00886783233208636,0.300843014270975
"Ikbkg",1676.91604831735,0.216983849412565,0.0825998516985105,2.62692783280721,0.00861596049375332,0.300843014270975
"Polr2e",1566.79052655784,-0.266574585724841,0.103201154906277,-2.58305816409643,0.00979288117318606,0.310065345034386
