"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gpr107",1928.83780909099,0.214797532709127,0.0603985512067132,3.55633584610308,0.000376063275673573,0.0577061261869521
"Tpd52l1",113.668675715017,0.636968094371342,0.230648783190066,2.76163648280099,0.00575124731452781,0.116788455289616
"Trappc10",1647.03134012423,0.202903452526495,0.0708320326464826,2.8645719308829,0.0041757330424917,0.106607839599558
"Tmprss2",30.880940946231,0.894313644673604,0.334019499502391,2.67742944949596,0.00741894750735256,0.126785025701019
"Galnt1",4303.63072144612,0.304140291734003,0.110995331924301,2.74011786316769,0.00614171554422154,0.11923852715618
"Dynlt1c",225.587368042083,-0.437840408532108,0.103386461842284,-4.23498783815655,2.28564075775974e-05,0.0168348870012794
"Rab5b",7367.32033412102,0.226778197365091,0.08128893400781,2.78977944701923,0.00527439577909214,0.115583326076659
"Dnajc5",2842.04016968103,0.170514055291111,0.0618565876475123,2.75660300343077,0.00584052142213237,0.117131864667051
"Heatr6",728.174780290822,0.168599347475325,0.0605849066734606,2.78286056268171,0.00538819576138291,0.115583326076659
"B9d1",260.954264879728,-0.353634278544816,0.116488544649868,-3.03578587583648,0.00239909672932824,0.0925159526694615
"Luzp1",2231.24042415688,0.358208170974936,0.129741780298242,2.76093152222446,0.00576367598569738,0.116788455289616
"Kctd10",6633.50022166657,0.227010717005506,0.0770544800740793,2.94610666099182,0.00321801412482603,0.0991400764980921
"Snrnp27",1563.9202069726,-0.464199486871437,0.168303787692157,-2.75810481294991,0.00581375535358105,0.116997855346451
"Gramd1a",1911.16708357395,-0.335460207558964,0.127686549132024,-2.62721649100336,0.00860865447955478,0.134737661118369
"Rrp15",363.585157048384,-0.281530182876528,0.0855796931742029,-3.28968441501017,0.00100299806598432,0.0707865441116869
"Tmem79",16.9229695610031,-1.06696709361232,0.36961168274852,-2.8867244825112,0.003892749444046,NA
"Jup",4009.34266497111,0.407037450338464,0.150787169338847,2.6994170135509,0.00694610770082979,0.123975540076151
"Ergic1",1972.23964391343,0.331072868403202,0.116243798017077,2.8480905996771,0.0043982401612789,0.109463684576085
"Stk38l",774.464137452837,0.234415039801591,0.0890414099406064,2.63265193080337,0.00847211215043179,0.134058527997287
"Ddx18",1088.46148785593,-0.203143979856615,0.0635657647724733,-3.19580800425743,0.00139439865791193,0.0784003306477122
