"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Apoh",8.04838603304588,0.811948179372719,0.31226408735133,2.60019711603657,0.00931702257730027,0.999605035272058
"Icam4",24.5651472352229,0.634957658181405,0.226819377891285,2.7993977590651,0.00511980272120822,0.999605035272058
"Acp5",10.0508835064018,-1.18739943632673,0.427827885029998,-2.77541384719107,0.00551315039258989,0.999605035272058
"Irx2",5.48795990192052,3.56687624991421,1.18157935485872,3.01873609694265,0.0025383153498429,0.999605035272058
"Tulp3",579.695420114807,-0.184280484477574,0.0617194585193204,-2.98577610527622,0.00282859658117916,0.999605035272058
"Plekha8",589.553489987347,-0.170426083619391,0.0617790341370373,-2.75863949639216,0.00580425266155822,0.999605035272058
"Tyrp1",7.44705457616017,1.04716954161029,0.394467585223179,2.6546402818316,0.00793930208292299,0.999605035272058
"Fam131c",32.4303196098111,0.525244225438308,0.191938269267702,2.73652683981293,0.00620915295949009,0.999605035272058
"Fads1",6435.16872360208,0.133634771508272,0.0505391988827004,2.64418064517472,0.00818889398313265,0.999605035272058
"Etv4",193.546546131002,-0.211436356990895,0.0800198136722073,-2.64230004154998,0.00823450721534204,0.999605035272058
"Sart3",1560.11667548467,-0.141567270429661,0.0523150517522268,-2.70605238240322,0.00680883048881967,0.999605035272058
"Rps6kl1",1020.01527680852,-0.135218249549997,0.0515670108920891,-2.6221851375671,0.00873679557646296,0.999605035272058
"Ptger1",86.216115003014,-0.396543090377068,0.140556199892188,-2.82124225527748,0.00478380620348913,0.999605035272058
"Fabp7",656.571915167161,0.37716942715283,0.121002290306899,3.11704370385233,0.00182674489257742,0.999605035272058
"Wif1",26.9353581145224,0.806305088591073,0.22393124137622,3.60068154687011,0.000317384123088535,0.77261059995013
"Acsl6",7329.32027548217,0.0994503858012418,0.0334446922783928,2.97357754029905,0.00294350024938169,0.999605035272058
"Polm",191.869573285294,-0.193325424802969,0.0720687574584971,-2.68251363864988,0.0073071172228954,0.999605035272058
"Prr11",18.8836875149276,0.590426010546436,0.212920236617499,2.77299151985778,0.00555435681322309,0.999605035272058
"Twistnb",541.045844604875,0.211209886952554,0.0622071954447548,3.39526457417818,0.000685623105820374,0.869814593870436
"Dcdc2c",2.38047664200599,-1.94318161183017,0.713168829764858,-2.7247147249423,0.00643570670870226,0.999605035272058
"Ccl11",1.25800079654751,-3.49929281315557,1.15680866849312,-3.02495383070895,0.00248671084218814,0.999605035272058
"Krt12",45.4805891998837,0.680778752186916,0.245919114395447,2.76830352882696,0.00563489491021967,0.999605035272058
"Gdi2",7721.14459166317,0.109171234378807,0.0421766692645072,2.58842711581015,0.00964153482097491,0.999605035272058
"Eif5",8307.39465357784,0.0927405912939323,0.0330775461341848,2.80373250535919,0.00505147956288161,0.999605035272058
"Glud1",7737.89945623278,0.13901952715451,0.039330854184652,3.53461754229482,0.000408365762332954,0.77261059995013
