"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Icam4",24.5651472352229,-0.613602963163387,0.227351418347474,-2.69891856238866,0.00695651972130663,0.947386237023143
"Siae",567.582565743294,-0.139224871515488,0.0494274869011129,-2.81674995522286,0.00485122777906442,0.947386237023143
"Cd36",43.0322073322521,1.38182266623036,0.489720939632093,2.82165322003275,0.00477768087439039,0.947386237023143
"Klf4",124.524377003466,-0.546623549996839,0.125638472185236,-4.35076565712229,1.35662981255119e-05,0.107752583911566
"Grk5",581.925524623363,0.355833594148159,0.129113155458593,2.75598247819352,0.00585161315665047,0.947386237023143
"Lpcat3",434.335906558565,-0.158855038513869,0.0583885930732451,-2.72065193135574,0.00651533240804159,0.947386237023143
"4930550C14Rik",9.95724603475557,0.961273100269932,0.37286927005858,2.57804323783215,0.00993615642453714,0.999931631262212
"Lrrc8a",1092.32722104673,-0.162323281885555,0.0602842165512488,-2.69263318280932,0.00708902158351088,0.947386237023143
"Rarres2",173.925777917161,0.641490376835648,0.195021295580564,3.28933501813728,0.00100424411786505,0.71506412662926
"Met",159.909984403332,0.812158879175131,0.301305962984831,2.69546235039503,0.00702910209169751,0.947386237023143
"Ebf3",49.5742613195731,0.926350942005122,0.34545329036173,2.68155194305756,0.00732815367839653,0.948995901352351
"Cfap161",54.4579880147972,0.91333589692278,0.309845532274391,2.94771362432928,0.00320133477643456,0.947386237023143
"Etv4",193.546546131002,0.265574604697358,0.0804734564547989,3.30015158285798,0.000966326191516376,0.71506412662926
"Etnppl",777.498542358829,-0.575222421989306,0.169096388941348,-3.40174279055023,0.000669576233561101,0.688804543327293
"Npffr1",119.409645380198,0.812604716834234,0.229086731551154,3.54714876471483,0.000389424627812036,0.508853391162364
"Kcnmb1",40.9792082072892,0.725486381209404,0.216954174845542,3.34396137675574,0.000825912349333362,0.71506412662926
"Wif1",26.9353581145224,-0.595107606515438,0.22740972681402,-2.61689600903539,0.00887333697369618,0.9937007137082
"Glyctk",124.162895953157,-0.230470439188575,0.0874176630118073,-2.63642874046457,0.00837837958156593,0.977497199333537
"Acsl6",7329.32027548217,-0.1275028789245,0.0334377885442617,-3.81313730588745,0.000137213831194147,0.25150239766878
"Pgam2",118.059886219185,0.321027636906961,0.115826215836694,2.77163191931941,0.00557760667625251,0.947386237023143
"Myo10",1327.07060928304,0.227320050326373,0.0809560327990903,2.80794454059423,0.00498588124471643,0.947386237023143
"Sncg",78.4074991371028,0.593325230380174,0.205649616442886,2.88512685140338,0.00391255976778276,0.947386237023143
"Gabrr2",27.2488611751879,-0.713797703828737,0.250794370026687,-2.84614723908189,0.00442517284922081,0.947386237023143
"Agpat4",1395.26542349407,0.134568279830461,0.0506529973447085,2.65666963229609,0.00789167368811109,0.965627047248607
"Calcr",3.81905093172925,4.59941082123184,1.66995781364364,2.75420779115163,0.00588344013429126,0.947386237023143
"Glp1r",230.020382119806,1.49113788577474,0.387263341167539,3.85044936419541,0.000117901304891109,0.237844717072259
"Thoc1",1487.46053753094,-0.142416456680248,0.0504711370826671,-2.82174060090984,0.00477637939919937,0.947386237023143
"Epb41l4a",138.685188203964,0.359569667657585,0.110579923157131,3.25167225108889,0.00114728233967677,0.738849826751841
"Spire1",5047.45750427667,-0.0910070810141606,0.0324488841233494,-2.80462898718524,0.00503745273084991,0.947386237023143
"Slc14a2",22.8477484091,1.78970625986054,0.429323649750756,4.1686645049709,3.06389586929707e-05,0.182516276934026
"Aldh1a7",5.8427568028487,1.4525462298983,0.505308236511255,2.87457461593533,0.00404572162646468,0.947386237023143
"Atp10a",392.110555585699,-0.369879346593639,0.129330822465155,-2.8599473779214,0.00423711309350656,0.947386237023143
"Adam8",169.914145892125,-0.504470134427876,0.194741980221211,-2.59045396300705,0.00958494408875524,0.999931631262212
"Slc25a10",286.86752952078,0.184491276156147,0.0675314598982653,2.73193081319549,0.00629643617129447,0.947386237023143
"Oprk1",48.2540163417115,0.790868091083993,0.28467457989304,2.77814791675865,0.00546697250007856,0.947386237023143
"Paqr8",6540.33844316927,-0.143576423231261,0.0545153710969851,-2.6336869829948,0.0084463314710869,0.977497199333537
