"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gna12",2789.25596961446,-0.159277262731949,0.0598471466561726,-2.66140111318943,0.0077816194551942,0.417805361476908
"Zfp276",563.847041636346,-0.227030267211535,0.0653388893476999,-3.47465758108309,0.000511505831593415,0.200219077933277
"Ramp2",531.433519675526,-0.242721937780631,0.0891648446625692,-2.7221708140599,0.0064854610644093,0.394898025029211
"Gtf2h4",333.75130428156,-0.188975770232135,0.0663534955356262,-2.8480152960543,0.00439928100754254,0.350221767055164
"Gramd3",465.831702476095,-0.19219102060065,0.0724022367085551,-2.65449010055156,0.00794283701319424,0.419915711141526
"Angptl4",68.6112691738107,-0.816206568800926,0.236071571396513,-3.45745387287654,0.000545305586192431,NA
"Slc9a3r2",794.610853577285,-0.177809376160969,0.0681211650945537,-2.61019282207176,0.0090491200503457,0.445153816839593
"Pex6",1674.01445621248,-0.153878029220358,0.0492879623211922,-3.12202050913749,0.00179614425538986,0.281196354384764
"Plin4",593.569359176557,-1.07279082537415,0.351784746666979,-3.04956606430045,0.00229172223447533,0.283483815431555
"Arrdc2",364.720201144699,-0.724405432146301,0.192937358399448,-3.75461464879459,0.000173608366550546,0.105330676105738
"Med25",1737.83752344631,-0.175545215510898,0.0505752480069354,-3.47097092804816,0.000518580140632457,0.200219077933277
"Klf4",124.524377003466,-0.498327053255199,0.129765296562235,-3.84021819744543,0.000122925005012949,0.0999167992260722
"Btbd2",1958.14223036432,-0.117197666878026,0.0442791035791475,-2.64679402708637,0.00812588299381913,0.420327392094871
"Csnk1g2",3593.37557280758,-0.163590096872277,0.0533789102907593,-3.06469532594781,0.00217891841431619,0.283070493800218
"Crot",1106.27562514743,-0.176937878386812,0.0639051679465302,-2.76875695772925,0.00562705938951657,0.381241785024246
"Thop1",1047.72025055325,-0.15838843884376,0.0552266328999004,-2.86797203680411,0.00413112043743112,0.344017029368039
"Mob1b",1276.67170721501,0.204965309359016,0.0689426115779233,2.97298440932067,0.00294919431283952,0.30549337186901
"Rbm14",853.563125387069,-0.17364735274731,0.0555938264319727,-3.1235006455221,0.00178713473221146,0.281196354384764
"Nphs1",58.9856698740324,-0.473940031513261,0.139316582635447,-3.40189245635914,0.000669209664391919,NA
"Lrrc8a",1092.32722104673,-0.185582455817524,0.0626175855498246,-2.96374339872714,0.00303921602050706,0.309644441449592
"Carhsp1",1698.54976451464,-0.220382756711412,0.08219746699059,-2.68113805424979,0.00733722393493586,0.417805361476908
"Rbm25",6111.90800992287,0.109116481819184,0.0418629598203165,2.60651617294937,0.00914685042183824,0.447776326283395
"Rnf170",1251.61793033179,0.137303846705871,0.0504864887269501,2.71961568665355,0.0065357828308638,0.394898025029211
"Rnf166",542.666918836001,-0.203682894723938,0.0616222639416501,-3.30534585546556,0.000948592663058279,0.251792065000532
"Tppp3",734.896953182857,-0.393288580266454,0.135990004995745,-2.89204033986733,0.00382748799290569,0.335590976293037
"Cyp2j9",765.74646489004,-0.25173849130754,0.0711744085746667,-3.53692424494753,0.000404815762160979,0.18568609772843
"Cd83",354.147601791562,-0.302430637225634,0.103586127354656,-2.91960559728407,0.00350474632745343,0.318956949700601
"Atf6b",1732.78817876354,-0.158232675971727,0.0490269955666518,-3.22746018072045,0.00124894422721801,0.264115702882417
"Prrt1",4159.39729428492,-0.186833765197967,0.0669542492765398,-2.79046912207605,0.00526317202341431,0.374626115923585
"Kctd5",629.419659145965,-0.140810216044083,0.0544192177151903,-2.58750900795801,0.00966726679573068,0.457297987290437
"Sdc4",2271.76602933075,-0.286349922267284,0.0996993299695049,-2.87213487146674,0.00407708921953775,0.341751274645595
"Pipox",24.7611105243717,0.661938790812461,0.248593720601782,2.66273335147033,0.00775088071214841,NA
"Atad5",222.171371167234,0.261062656190858,0.085247629975575,3.06240368518935,0.00219567122462925,0.283070493800218
"Slc35c2",1316.53202916546,-0.175694659412056,0.05746963656184,-3.05717366461854,0.00223434784530983,0.283070493800218
"Plod1",632.700553850793,-0.259163440761661,0.0824203293334948,-3.14441161370536,0.00166421175620467,0.281196354384764
"Etnppl",777.498542358829,-0.672465456238621,0.176026560011906,-3.82024994519655,0.000133316504736145,0.0999167992260722
"Ppp1r12c",2232.62725885649,-0.10615624487616,0.0409637760152265,-2.59146629540941,0.00955679024326206,0.454339792870902
"Nop9",318.700451798092,-0.19745767953716,0.0689196572363728,-2.86504152015647,0.00416954568341038,0.344962217872284
"Hsf2",949.396335287894,0.123560445781774,0.0478166998185844,2.58404378074103,0.00976493979878095,0.457408448442162
"P4ha1",1740.42458038154,-0.342385229433359,0.104898154932113,-3.26397761385738,0.00109859845339986,0.264098922542786
"Dusp6",1267.25292084203,-0.226492594656316,0.0842468285330109,-2.68844060483022,0.00717866053226983,0.41459075069063
"Sgk1",2463.68377949031,-0.753656293638688,0.24267958822028,-3.10556111935791,0.00189918367029359,0.281196354384764
"Cep290",932.498158913729,0.196298102311978,0.0739221769759096,2.6554697161577,0.0079198044273652,0.419915711141526
"Tmcc3",2142.08492590022,-0.186132494472023,0.0601839416748911,-3.09272688514648,0.00198326565709987,0.281196354384764
"Tysnd1",428.359750381055,-0.155061893903128,0.0526988003153568,-2.94241791037398,0.00325660114231578,0.309644441449592
"Ddit4",1399.81757334299,-0.40636531105239,0.126257183317037,-3.21855200929036,0.00128839603283413,0.264115702882417
"Mknk2",869.041368172498,-0.180579580434771,0.0580337762323452,-3.11162898846697,0.00186058170834232,0.281196354384764
"Sf3a2",702.389792537307,-0.201782698724663,0.0658145124186261,-3.0659301620467,0.00216993992537903,0.283070493800218
"Fam20a",330.799894861943,-0.338376520075277,0.0850364965741142,-3.97919168483572,6.91499721567122e-05,0.07995243272368
"Ubxn2a",1499.51587083634,0.13939986511883,0.0498735458381275,2.79506625759624,0.0051889079258662,0.373513423070402
"Bcap29",1502.62262930223,0.153999032049343,0.0532665290442629,2.8911031901736,0.00383892047155028,0.335590976293037
"Srp68",1962.25867869784,-0.118106461016802,0.0383199182433524,-3.08211672756611,0.00205534222857056,0.281581885314167
"Cygb",1458.31124290076,-0.157812711336564,0.056283362594337,-2.80389628590604,0.00504891433203009,0.369797491757546
"Per1",1709.1863592323,-0.227361813436581,0.0848236125669898,-2.68040710075889,0.00735326717871668,0.417805361476908
"Dcakd",966.28392558547,-0.231720658800529,0.0885844526944514,-2.61581633968872,0.00890144230342591,0.443020610890428
"Zc3h14",2622.56751224941,0.108838452914958,0.0372756067097173,2.9198304876037,0.00350221828630156,0.318956949700601
"Otub2",1295.14249764792,-0.274821498803646,0.106594211412307,-2.57820284199705,0.00993156795639893,0.46154689523158
"Angel1",238.037400746999,0.261301998854745,0.0892728938209999,2.92700267315944,0.00342245939085294,0.318956949700601
"Eif5",8307.39465357784,0.102394017309148,0.0343666117612268,2.97946210177959,0.00288754946985914,0.30549337186901
"Drd1",161.072485073242,0.682886372768687,0.217985141954185,3.13271981129894,0.00173194688386225,0.281196354384764
"Thbs4",697.279195492453,-0.499260508486396,0.130441838996825,-3.82745683690144,0.000129474079354677,0.0999167992260722
"Fam107a",11020.675279955,-0.278905227157797,0.086665658060754,-3.2181746887825,0.00129009220214076,0.264115702882417
"Gdf10",299.043627201245,-0.233145882426775,0.0789396639803888,-2.95346940524977,0.0031422375409082,0.309644441449592
"Pop1",252.552790458064,-0.235851456701689,0.0792783194871833,-2.97498052717703,0.00293007146981372,0.30549337186901
"Eny2",2260.96900031184,0.119219768223981,0.0425205792264999,2.80381336267594,0.00505021297902936,0.369797491757546
"Desi1",3633.1147897595,-0.153342479879863,0.0540006432616454,-2.83964172680098,0.00451642273629808,0.350876476116913
"Bcl6",1636.13645984282,-0.293141640901497,0.110132952449529,-2.66170691315876,0.00777455408804763,0.417805361476908
"Nde1",814.513696371029,-0.305354499512471,0.086384995344504,-3.53480946887495,0.00040806928313288,0.18568609772843
"Tmem114",81.3698673150534,-0.491027690908076,0.168212232265019,-2.91909621729805,0.00351047852023083,NA
"Tfrc",3672.06571309438,0.270818403615564,0.0897775817683979,3.01654821037843,0.00255670557897347,0.298853080566065
"Fstl1",1105.86032867123,0.231603066112333,0.0707213573730026,3.2748673769198,0.00105711588695108,0.259013721454687
"Zfp641",379.929377817986,0.221339043372355,0.0757900495361139,2.92042352165091,0.00349555981643349,0.318956949700601
"Cdkn1a",301.665639545947,-0.74724828694477,0.224309950055632,-3.33132028587873,0.000864350903369258,0.251792065000532
"Gabrr2",27.2488611751879,-0.77774260061172,0.26101490165067,-2.97968658376683,0.00288543443244808,NA
"Wfdc1",116.940664155858,-0.362241077714879,0.115238724680866,-3.14339714117841,0.0016699909589485,0.281196354384764
"Phf10",1746.72563990017,0.108622103829334,0.039862836949209,2.72489647356846,0.00643216520845224,0.394898025029211
"Slc5a7",33.4482358010126,0.833958857973169,0.306722900799931,2.71893248204882,0.0065492975227452,NA
"Hnrnpll",2531.71226231943,0.118551619787342,0.0400240573388389,2.96200904330359,0.00305638806911983,0.309644441449592
"Dnase1l2",80.844852091406,-0.570750217712524,0.2147607906551,-2.65760903548326,0.00786971289094724,NA
"Cul2",1900.91339507398,0.120185513891717,0.0423071507897189,2.84078487083851,0.00450026593791385,0.350876476116913
"Cyp4f14",188.338783959847,-0.241979924214677,0.089533055041761,-2.70268812006705,0.00687812504844245,0.409505566552361
"Ak3",2577.68743645061,-0.104626195010533,0.0379840607185476,-2.75447629956647,0.00587861474762649,0.389324666605002
"Grk2",5174.22059754315,-0.11387072076296,0.0351487003017547,-3.239685103158,0.00119661769852013,0.264115702882417
"Mxi1",1641.73884771571,-0.156058947920076,0.0563048554567513,-2.77167833314033,0.00557681153073643,0.381241785024246
"Hdgfl3",4092.67755554954,0.138905736657793,0.050535236353305,2.74869074889976,0.00598338089416934,0.390714198622856
"Mfsd13a",570.448072373126,-0.183432033140032,0.0543830426541248,-3.37296378039486,0.000743637339708873,0.236867083630769
"Sufu",518.548271758126,-0.148179055239624,0.0545118565902503,-2.71829037769604,0.00656202210251085,0.394898025029211
"Banp",695.291355968161,-0.371312697641458,0.13659551964222,-2.71833731160455,0.0065610912607852,0.394898025029211
"Sp4",1066.61927115769,0.164883520916236,0.062269078466548,2.64791972158082,0.00809887547756254,0.420327392094871
"Pnpla2",521.826259883432,-0.349776862578798,0.116091972036336,-3.01292894283268,0.00258739492834469,0.299690898018543
"Zfp711",430.101392351686,0.252412376679482,0.0803598636374357,3.14102544795628,0.00168357402992144,0.281196354384764
"D3Ertd751e",548.604206225392,0.242822109693086,0.0778974674027057,3.11720159575627,0.00182576675750141,0.281196354384764
"Cwf19l2",616.965544895351,0.199716060525359,0.0695309355223441,2.87233386153965,0.00407452257743484,0.341751274645595
"Paqr8",6540.33844316927,-0.233244426082008,0.0567394494219612,-4.11079819170275,3.9429371030489e-05,0.0785442384876542
"Lactb2",608.4601514347,0.199267855063421,0.0676183153541774,2.94695089665688,0.00320924160022415,0.309644441449592
"Osgepl1",418.077229795047,0.193303441921333,0.0696201845876436,2.7765430825307,0.00549403532740987,0.380432087535484
"Sema4c",303.194063135687,0.236678559678845,0.091787816137571,2.57854004636207,0.00992187985770946,0.46154689523158
"Plcd4",586.57940527609,-0.253360161845902,0.0696600157161034,-3.63709596159813,0.0002757292269144,0.152742003483321
"Slc23a3",6.94056365690878,1.2816676637207,0.495441446086764,2.5869205611358,0.00968379147736507,NA
"Nmur1",2.32568121488837,1.81792711259486,0.680809464419959,2.67024359619282,0.00757962361028547,NA
"Rnpepl1",826.86158244667,-0.156325953236402,0.0547546955965363,-2.85502369309659,0.00430336184169942,0.349972692756554
"Ing5",480.025198654869,0.165701094085956,0.0517607780057737,3.20128677485243,0.0013681529228663,0.264115702882417
"Mlph",72.7540848422264,-0.395553052924666,0.121765368475155,-3.24848565629211,0.00116021058211625,NA
"Glul",50218.3665437299,-0.210860219293249,0.0557707111019702,-3.78084150492031,0.000156299159183047,0.101255948208881
"Vangl2",343.59607144148,0.236340786621564,0.0872448474805802,2.70893689938734,0.00674991759550053,0.403759155325222
"Mastl",38.4965441358948,0.420392369264028,0.16252909265027,2.58656688725033,0.00969373540812059,NA
"Ralgds",2626.98905252898,-0.172374482076982,0.0507505836372919,-3.39650245815734,0.000682529443442533,0.224070298809285
"Cwc22",679.427889013198,0.183185709982323,0.0571424451241703,3.20577303936261,0.00134700185997838,0.264115702882417
"Smox",1169.69930855949,-0.272105894402554,0.0782794223707449,-3.4760845974797,0.000508791763662538,0.200219077933277
"Tbl1xr1",2582.35156132363,0.120097087908384,0.0433964783933226,2.76743856540357,0.00564986929423882,0.381241785024246
"Fam83d",71.2670146591016,-0.814470300796665,0.204408386949033,-3.98452486687713,6.76152767444771e-05,NA
"Gm8325",62.5966670557023,-0.618157713435024,0.201960019439764,-3.06079250313894,0.00220752020109126,NA
"Tmem144",474.232380635954,-0.262486027217402,0.0974566895746009,-2.69336079814691,0.00707356762915391,0.413414335610321
"F3",1125.48156656334,-0.265963565331989,0.095150220571525,-2.79519651908808,0.00518681748952699,0.373513423070402
"Cntfr",1356.42615282357,-0.231629006037271,0.0682232207263838,-3.3951637517414,0.000685875649757642,0.224070298809285
"Fggy",218.239864907529,0.228072018678574,0.0828328444113007,2.75340078322191,0.00589796443698586,0.389324666605002
"Echdc2",323.099374771509,-0.238560778892197,0.0858265209259009,-2.77956948876164,0.00544310064982635,0.380432087535484
"Slc2a1",2605.76879009971,-0.31130217478259,0.0821520401463139,-3.78934198381631,0.000151046855401215,0.101255948208881
"Mfsd2a",544.180590428254,-0.476388695638986,0.107143390316403,-4.4462723667057,8.73731579811851e-06,0.0271489831592712
"Slc30a2",131.226358154821,-0.288058526046795,0.107700148225706,-2.6746344437996,0.00748107735964782,0.417805361476908
"Slc25a33",783.169497786288,-0.234994892542471,0.0737168517753201,-3.18780423855738,0.00143357556368132,0.268605680247996
"Sepsecs",647.75713411331,0.154293850285905,0.055837582378068,2.76326165486902,0.00572268706354554,0.381742177364575
"Slc10a6",1.74282088367484,-2.67147897774129,0.971904657285434,-2.74870478057264,0.00598312478306581,NA
"Rilpl1",1654.73963765195,-0.234089096967874,0.0722844878635046,-3.2384416613687,0.00120184597621832,0.264115702882417
"Slc23a4",10.773156240871,1.09276928891837,0.305756385122521,3.57398681463506,0.000351586641916925,NA
"Tmf1",1611.41791918911,0.159200582552102,0.053858562034597,2.95590109609381,0.00311757044511017,0.309644441449592
