"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Arvcf",853.336141530997,-0.167528175766667,0.0545453837763653,-3.07135387393237,0.00213090437590388,0.997952765182429
"Il12rb1",15.7621289643128,-0.77480079048704,0.284418541017338,-2.72415710915206,0.00644658319648004,0.997952765182429
"Zfp276",563.847041636346,-0.176160099758458,0.063238281926451,-2.7856560044332,0.00534195280421984,0.997952765182429
"Cse1l",2015.28944771818,0.145528524479198,0.043696988792467,3.33040167070474,0.000867207865488671,0.884488890833281
"Grk5",581.925524623363,-0.366863372117688,0.129052408312595,-2.84274719793728,0.00447265314908528,0.997952765182429
"Btbd2",1958.14223036432,-0.11652679646027,0.0425407064517119,-2.73918338879821,0.00615920066551286,0.997952765182429
"Chn2",811.019442411203,-0.278989643541311,0.105700140893137,-2.63944438658196,0.00830420469508062,0.997952765182429
"Rab11a",3634.15174768498,0.124489294723484,0.0440674951925211,2.82496870265982,0.00472852344813476,0.997952765182429
"Hapln2",671.368854792031,-0.26233107298424,0.0939348447059875,-2.79269182597072,0.00522714645289498,0.997952765182429
"Trh",32.603014122363,2.90742425226299,0.984398363850929,2.95350374302661,0.00314188798323348,0.997952765182429
"Hyi",121.81422581211,-0.291397897941318,0.0977992979501128,-2.97954999728075,0.00288672116240959,0.997952765182429
"Ebf3",49.5742613195731,-0.940480799712949,0.345149227746112,-2.72485268431415,0.0064330183126064,0.997952765182429
"Tppp3",734.896953182857,-0.381932658726447,0.130364270746855,-2.92973417132133,0.0033925208779331,0.997952765182429
"Atad5",222.171371167234,0.228344290216032,0.0833281616274243,2.74030154699682,0.00613828386399811,0.997952765182429
"Afmid",38.41963562926,0.825132112627646,0.299454408592843,2.75545154437698,0.00586111853685727,0.997952765182429
"Etv4",193.546546131002,-0.227847900969581,0.0798539232251403,-2.85330878893935,0.00432665569526729,0.997952765182429
"Fdxr",280.272261724193,-0.210394319846249,0.0797047312604396,-2.63967165460698,0.00829863853492794,0.997952765182429
"E2f2",28.8964517079951,0.508416702537208,0.175043868953161,2.90451019837349,0.00367828219968235,0.997952765182429
"Nop9",318.700451798092,-0.176995225871704,0.0660979919158106,-2.67777009167153,0.0074114071392613,0.997952765182429
"Npffr1",119.409645380198,-0.838739056153294,0.228972730086309,-3.66305217148409,0.0002492277528005,0.593859889373031
"Wif1",26.9353581145224,0.641102498592455,0.225815721610912,2.83905165689525,0.00452478312520288,0.997952765182429
"Taf15",2263.6060641884,-0.173780330904989,0.0669198638218087,-2.59684226745774,0.00940851178037609,0.997952765182429
"Mif4gd",245.216594451542,-0.228226052722445,0.0876892232572582,-2.60266933888657,0.00925011209360409,0.997952765182429
"Nr1d2",3252.37425122195,0.160130776416355,0.062085530197902,2.57919640705212,0.00990304633219657,0.997952765182429
"Sugt1",4236.7461777828,0.113810913908692,0.03468731138123,3.28105319717218,0.00103420236399944,0.884488890833281
