"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Wnt3",72.6789390456839,-0.88899331262666,0.320271527520573,-2.77574881385469,0.00550747401186789,0.99761642239222
"Zfp276",563.847041636346,-0.260516419076802,0.0629678922734808,-4.13728981026286,3.51432124172645e-05,0.330556691345299
"Gtf2h4",333.75130428156,-0.191406944507889,0.0639276869802689,-2.99411653305971,0.00275240797308316,0.99761642239222
"Angptl4",68.6112691738107,-0.702897469392459,0.225873762827498,-3.1119040148513,0.00185884926918963,0.99761642239222
"Cse1l",2015.28944771818,0.119755712972847,0.0436473970426784,2.74370801208946,0.00607495462737815,0.99761642239222
"Atg4d",649.050678073211,-0.1676596786255,0.0544260146664829,-3.08050625519619,0.0020664901395504,0.99761642239222
"Med25",1737.83752344631,-0.133424835871279,0.0485818611382859,-2.74639202255943,0.00602547167523179,0.99761642239222
"Klf4",124.524377003466,-0.423924687288151,0.124242078159244,-3.41208625587215,0.000644677103238512,0.785317360231889
"Irf3",477.155880163645,-0.270773199484543,0.0849936673220357,-3.18580440185738,0.00144352156001452,0.99761642239222
"Dll3",29.6388444913208,-0.469953410206474,0.171279138757889,-2.74378662582356,0.00607350010091593,0.99761642239222
"Nmrk2",2.81254477501176,-1.67655937388865,0.626685245239173,-2.6752813898607,0.00746665511546497,0.99761642239222
"Mthfd2",204.044885942127,-0.243537061472415,0.0881910715126827,-2.76147071687855,0.00575416764329081,0.99761642239222
"Dennd2c",20.7871801544489,0.585989877036527,0.202063810820377,2.90002388184907,0.00373134229565163,0.99761642239222
"Tjap1",433.392707563069,-0.228556089562463,0.0824698591330912,-2.77138935321347,0.00558176389938576,0.99761642239222
"Nit1",962.136820743085,-0.126068105657895,0.0401196712645192,-3.1423015614135,0.00167625294275359,0.99761642239222
"Rnf166",542.666918836001,-0.163464254505229,0.0591789851745466,-2.76220104185796,0.00574131139817231,0.99761642239222
"Cyp2j9",765.74646489004,-0.183600190031508,0.068302230316255,-2.68805556101752,0.00718694371212535,0.99761642239222
"Phf21b",171.138148327706,-0.298484192367128,0.114815560185452,-2.5996841533065,0.00933095984316575,0.99761642239222
"Etnppl",777.498542358829,-0.79848427978348,0.169243939940309,-4.71794901527994,2.38234175629355e-06,0.0567664393689627
"Ppp1r12c",2232.62725885649,-0.112745625124553,0.0394109818875842,-2.86076671335286,0.00422617904981721,0.99761642239222
"Slc6a15",2370.56347964566,0.182913300850154,0.0610493707898202,2.9961537438262,0.00273408547594002,0.99761642239222
"Hnrnph3",1512.38000424348,-0.137270550189542,0.0531455047106851,-2.58291930685049,0.0097968233759566,0.99761642239222
"Hmg20b",388.208739342438,-0.197920125364313,0.0706923587588725,-2.79973859748275,0.00511440041356034,0.99761642239222
"Sec23a",4076.82209991975,0.104839799550653,0.0406456493028141,2.57936092420585,0.00989833069391705,0.99761642239222
"Fos",190.05252100843,-0.953733345137196,0.276190064441971,-3.45317760457521,0.000554024106824246,0.751834113275415
"Thbs4",697.279195492453,-0.352147771144782,0.125152192493348,-2.8137563084522,0.00489663330045898,0.99761642239222
"Fam107a",11020.675279955,-0.230191340609892,0.0832631787940419,-2.76462349797248,0.00569885303901441,0.99761642239222
"Nudt13",400.217276930349,-0.161998572392433,0.0623234112530013,-2.59932133263375,0.00934082895754928,0.99761642239222
"Pop1",252.552790458064,-0.213845711215275,0.0762120190270913,-2.8059315833013,0.00501713436988937,0.99761642239222
"Adck5",324.416491715588,-0.186175708057489,0.0709453853345143,-2.62421166901346,0.00868497922909487,0.99761642239222
"Arc",1857.53433788706,-0.533379494393705,0.171393561002249,-3.11201594315848,0.00185814463765006,0.99761642239222
"Trmt2a",903.257216760449,-0.168527937494697,0.0520003446485374,-3.24090039467532,0.00119152809495977,0.979025222300047
"Nr4a1",1143.66132549602,-0.501339570011993,0.127698643442081,-3.92595846360248,8.63850627809541e-05,0.343063879324096
"Prr13",710.639711324331,-0.200894798718726,0.0704673740808064,-2.85089094548004,0.00435969192560511,0.99761642239222
"Cdkn1a",301.665639545947,-0.632903173905509,0.215296241595183,-2.93968519476314,0.00328545864545241,0.99761642239222
"Aars2",732.129152643489,-0.158770663988753,0.056804385213608,-2.79504237906475,0.00518929121108038,0.99761642239222
"Sik1",257.836685696358,-0.364661566127602,0.136796574111287,-2.66572148094104,0.0076823309504975,0.99761642239222
"Dnase1l2",80.844852091406,-0.837958102414402,0.208160274941671,-4.02554283063476,5.68440323240446e-05,0.330556691345299
"Dusp1",343.711996451314,-0.302738348779742,0.102243286125091,-2.96096066796361,0.00306681101465953,0.99761642239222
"Tnfrsf25",191.143277153913,-0.806217456703355,0.269241086462748,-2.99440723292023,0.00274978660096159,0.99761642239222
"Mip",5.06231611436925,1.27103231492536,0.488128951239144,2.60388635359318,0.00921733147617283,0.99761642239222
"Pigq",3101.43970268375,-0.0644978252025208,0.0217182052313523,-2.96975852817765,0.00298033917378349,0.99761642239222
"Oprk1",48.2540163417115,0.801408916766335,0.2841890796092,2.81998491239841,0.00480259075038091,0.99761642239222
"Paqr8",6540.33844316927,-0.140611047545003,0.054494966412713,-2.58025753204612,0.00987266591488823,0.99761642239222
"Wnt10a",71.562195781569,-0.557590866534463,0.184349359457807,-3.02464227797917,0.00248927357872277,0.99761642239222
"Plcd4",586.57940527609,-0.25560620595124,0.0670126455289506,-3.81429809155667,0.00013657054115142,0.464886122079433
"Rnpepl1",826.86158244667,-0.171116316630537,0.0527255682005127,-3.24541436859988,0.00117279831051352,0.979025222300047
"Glul",50218.3665437299,-0.140896269136993,0.0535812651154864,-2.62958085878175,0.00854901986613639,0.99761642239222
"Sephs1",793.085185240987,0.122035611565506,0.0436058053566047,2.79860928074849,0.00513231991720481,0.99761642239222
"Traf1",28.9329333135323,0.586294719075702,0.212989330874588,2.75269524848135,0.00591068892220803,0.99761642239222
"Fam83d",71.2670146591016,-0.592279856677311,0.194370640570905,-3.04716728276281,0.00231009110003299,0.99761642239222
"Shox2",94.6343525961238,-5.46052083181118,1.51405888136559,-3.60654456640821,0.000310301585123128,0.67206316367609
"Lrrc39",28.0060752427809,-0.517496830427982,0.197757764526798,-2.61682180553703,0.00887526605653176,0.99761642239222
"Ifi44",20.5457967328877,0.73430184349468,0.282958463012196,2.59508705156852,0.00945669641899756,0.99761642239222
"Fktn",2475.03979450157,0.154662451820502,0.0598450652301107,2.58438103836646,0.00975539516688942,0.99761642239222
"Cntfr",1356.42615282357,-0.187751390152593,0.065530760792324,-2.86508790501614,0.0041689349630805,0.99761642239222
"Plk3",198.437748428656,-0.265362029820623,0.0928348067899336,-2.85843251035233,0.0042573966202482,0.99761642239222
