"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","ko","Level3","Level2","Level1"
"00650","Butanoate metabolism",27,6,0.222222222222222,12.0702947845805,7.88754737263715,7.73503638142562e-06,0.00110611020254386,"Ehhadh,Echs1,Aacs,Acsm3,Acsm5,Acat3","00650","Butanoate metabolism","Carbohydrate metabolism","Metabolism"
"00380","Tryptophan metabolism",52,7,0.134615384615385,7.31181318681319,6.24839602251622,4.2730570097615e-05,0.0040736476826393,"Inmt,Tph2,Ehhadh,Echs1,Tdo2,Cyp1a1,Acat3","00380","Tryptophan metabolism","Amino acid metabolism","Metabolism"
"05418","Fluid shear stress and atherosclerosis",149,10,0.0671140939597315,3.64539104232297,4.45341469232506,0.000422936577179271,0.0302399652683179,"Gstt1,Hmox1,Mmp9,Bmp4,Vegfa,Il1r2,Actb,Calml4,Rac2,Gstt2","05418","Fluid shear stress and atherosclerosis","Cardiovascular disease","Human Diseases"
"04931","Insulin resistance",110,8,0.0727272727272727,3.95027829313544,4.25955439767579,0.000943598385206803,0.0455049350925456,"Gfpt2,Srebf1,Pck1,Gys2,Slc27a1,Acacb,Prkcb,Slc27a4","04931","Insulin resistance","Endocrine and metabolic disease","Human Diseases"
"04975","Fat digestion and absorption",43,5,0.116279069767442,6.31585192216421,4.78338618835186,0.00109616990020588,0.0455049350925456,"Dgat2,Slc27a1,Mogat2,Slc27a4,Acat3","04975","Fat digestion and absorption","Digestive system","Organismal Systems"
"00310","Lysine degradation",64,6,0.09375,5.0921556122449,4.49677307593489,0.00111375715261475,0.0455049350925456,"Plod3,Plod1,Ehhadh,Echs1,Acat3,Prdm6","00310","Lysine degradation","Amino acid metabolism","Metabolism"
"04610","Complement and coagulation cascades",94,7,0.074468085106383,4.04483282674772,4.06071689142916,0.00170757382914141,0.0610457643918054,"Procr,Itgax,F7,F10,Cfi,Cfd,Serpina1a","04610","Complement and coagulation cascades","Immune system","Organismal Systems"
"04152","AMPK signaling pathway",127,8,0.062992125984252,3.42150088381809,3.7596030059035,0.00236913188609481,0.0752857466025685,"Pfkl,Srebf1,Pfkfb1,Pck1,Ccna2,Gys2,Acacb,Gm2436","04152","AMPK signaling pathway","Signal transduction","Environmental Information Processing"
"04814","Motor proteins",198,10,0.0505050505050505,2.74324881467739,3.3909244602028,0.00361731877935453,0.10345531708954,"Dynlt1c,Dnah2,Myl2,Myo10,Actb,Myh7,Actg2,Myl3,Actc1,Myh15","04814","Motor proteins","Cell motility","Cellular Processes"
"04913","Ovarian steroidogenesis",64,5,0.078125,4.24346301020408,3.56416483611562,0.00636490918851191,0.152556946259773,"Acot2,Cyp1a1,Cyp11a1,Ptgs2,Acot4","04913","Ovarian steroidogenesis","Endocrine system","Organismal Systems"
