"Gene","log2FoldChange","pvalue"
"Grasp",0.344144178788209,0.00555142521571184
"Ccl3",1.90250253567203,0.00363394953752852
"Hpn",1.3047230611504,0.000133306075833689
"Cnn1",2.51842253351742,0.000114227019648079
"Spag5",-1.20452589730992,0.00551448074749829
"Scin",0.891462856734529,0.00339866957684722
"Gnmt",1.15338034518678,0.00418683704890711
"Pla1a",0.820270386209542,0.00490148011838162
"Ebi3",1.2904581468619,0.00232728588085322
"Hck",1.0697606467392,0.00470536235516787
"Fcgrt",0.259910782656687,0.00608608487898688
"Inmt",0.913112043349646,0.00717921577770158
"Brinp2",-1.24207149035786,0.00747562292311133
"Ptpn6",0.896852211841183,0.00460180090034327
"Slc2a9",0.531780748005494,0.00895509696757153
"Spc25",-0.760264520356911,0.00421843252207842
"Dnah2",0.909502713927991,0.00131558535122344
"Hmox1",-0.335416103046762,0.00102564276789201
"Mthfd2",-0.433715483797095,0.00808752208143262
"Sqor",0.377686275058964,0.00635927237179246
"Gata6",1.21946795659538,0.00361821195164226
"Slc5a6",0.504874772264212,0.00267993810181727
"Pou2f2",1.23864230098178,0.0029829759806082
"Plin5",1.41548021483483,0.00119245354749899
"Tex22",-2.89407712516537,0.00830882853326726
"Myl2",-4.53831779272762,0.00117167332603864
"Gorasp2",-0.189594494668262,0.0032019392314513
"Castor2",-0.259346285262906,0.0071355392442452
"Cmah",0.838713137017635,0.00165337532888437
"Rab11fip4",-0.334941828941069,0.00810113084862493
"Mmp9",0.978848677980391,0.00490575570034781
"Cadps2",0.743476615309325,0.0049544604646715
"Cenpv",0.455995357917399,0.00300630985300987
"Sparc",-0.253158336728406,0.0044977952135588
"Irf1",0.428681186118196,0.000643459474258558
"Pkib",1.3992608900583,0.00384864798628267
"Nts",1.88817879708236,0.0028286648114009
"Myb",1.42313659974008,0.000109570747416415
"Socs2",0.53631814357521,0.00285049140662172
"Elane",2.21383420213167,0.00357255342575401
"Pcsk4",0.7324282640116,0.00114753945621744
"Gfpt2",0.662150633077282,0.00148666887926981
"Srebf1",0.558583897790243,8.07196041539371e-05
"Pik3cg",0.815055925205502,0.00549071770011776
"P2rx1",2.09121483761981,0.000414549412833682
"Nr1d1",0.591636480914687,0.00219992637471589
"Net1",0.882944424434245,0.00226828682780486
