"Gene","log2FoldChange","pvalue"
"Fap",-0.436338645410451,0.00129742176032295
"Dnmt3l",-1.85435434804319,0.00562151817061519
"Grk5",-0.416977580122403,0.00765187820582049
"Matk",-0.819227173945056,0.00133836425897846
"Spo11",-2.83683958661585,0.00435736528567173
"Susd2",-0.621617404817024,0.00904116348718546
"Ctsd",-0.464744828309725,0.00787497804972141
"Elavl2",0.738818782573916,0.00126006120537951
"Bnip2",-0.142826838060438,0.00588306143720121
"Kif11",-0.843504357982272,0.00894386228593409
"Gata3",0.887388049587445,0.00564918661183371
"Ada",-0.825784296079996,0.0039853685346257
"Cd68",-0.945724441672932,0.00310953345836166
"Ccl9",-1.01630948215623,0.00260505665289213
"Rab32",-0.407643831408042,0.00177673232312611
"Cabcoco1",1.22422861146815,0.00207184622935955
"Dock2",-0.87825746741255,0.00973108484997476
"Shc2",-0.546096606941617,0.00172449606546772
"Hmmr",-1.43104349214787,0.00631511515811084
"Pimreg",-1.38729932891598,0.00825841954547919
"Top2a",-1.20952993432781,0.00348596368679434
"Rab3c",0.802779270564394,0.00286924243531933
"Slc4a7",-0.582059483992583,0.00571104670005299
"Nefl",0.628939660078784,0.00722729799477723
"Adamdec1",0.710746732082235,0.00312588069646897
"Dok2",-0.657437691445247,0.00225116961032514
"Cpne6",2.05848141920398,0.000862000011397816
"Sdf2l1",-0.687944643846225,0.000411415195748018
"Galnt14",3.34816538676387,0.00425652488596892
"Tapbp",-0.272532384808844,0.00237641148944577
"Mal2",-1.11107781444077,0.00664522200903885
"Slc15a3",-0.950404387582638,0.00782326732792866
"Gusb",-0.382994514676062,0.00895425811497444
"Col5a2",-0.435049488883574,0.00861843534743466
"Slc9a4",-1.20138754059608,0.00188700525582712
"Cxcr2",3.78029188771169,0.00373675579154456
"Cnih3",0.503515169375233,0.00968851079511848
"Snap25",0.565241266498489,0.00381482168265832
"E2f1",-0.624689285994692,0.0047943541341316
"Dclk1",-0.762365080526009,0.00216926274309232
"Cd2",-1.15533612449157,0.00635032872581965
"Cth",-1.27290192807906,0.000737752182247437
"Tnfsf8",-1.37837350429558,0.00297994204287405
"Ptgr1",-0.422079215304324,0.000423232254573314
"Nfx1",0.148359385004675,0.00640191732642389
"Sh3gl2",0.419010566431492,0.00763417756928942
"Pdpn",-0.464409423048276,0.00816085188157889
"Zbtb8a",0.226134755672526,0.00469029357286814
"Per3",0.461756572115523,0.00775736764495425
"Snx8",-0.197535761507492,0.00929621068070951
"Tfpi2",-0.808154528456037,0.00468965734488771
"Add2",1.22573219250225,0.0023314160659654
"Pianp",-0.85248215176076,0.00678776265025151
"Dmpk",-0.613694465222202,0.00355877467028693
"Lilra6",-1.69120453845026,3.11562454652937e-06
"Slc17a6",1.94378669850595,0.00148266500013418
"Apba2",-1.00933496472734,0.00387909511450816
"Itgam",-0.963799173875167,0.00842186300322214
"Tub",-0.954437325289241,0.00604837038940994
"Ptpn7",-0.573814324617404,0.00927090469528985
"Clmp",-0.454482476243895,0.00734997971881678
"Pou2af1",-2.3951713737247,0.00887844265188609
"Apoa1",-2.51929263067097,0.00666737123446916
"Tinag",-2.48415958186241,0.000737580352699735
"Ltf",4.33542611352571,0.00123862575024989
"Tlr13",-0.81905351420268,0.0058766338645511
"Cd226",-1.14815546745126,0.00602149282287613
"Scn10a",3.80439178345304,0.000619542234339721
"Ppp1r1c",0.566331901222588,0.00459816082197126
"Dusp5",-0.635695022110763,0.0025408552132564
"Mfsd12",-0.436778269529113,0.00250614410109113
"Krt20",-1.40602864215765,0.00425858037273691
"Cc2d1a",-0.166093734196446,0.00360584813826046
"Dner",0.497408589531105,0.00987538914412352
"Cldn11",0.414357643037982,0.00330923503444409
"Cd84",-1.04743861050576,0.00165326962881667
"Poli",0.238335074193428,0.00950782660887177
