"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","ko","Level3","Level2","Level1","Description"
"05222","Small cell lung cancer",94,7,0.074468085106383,4.53148936170213,4.44518122219995,0.000883790999166897,0.195337577305492,"Ikbkg,Lama2,Traf3,Rb1,Myc,Fn1,Lamc1","05222","Small cell lung cancer","Cancer: specific types","Human Diseases","Small cell lung cancer"
"04974","Protein digestion and absorption",108,7,0.0648148148148148,3.94407407407407,3.97481083221783,0.00198770979385422,0.195337577305492,"Col6a1,Atp1a4,Col6a2,Col5a2,Col15a1,Col6a3,Slc8a1","04974","Protein digestion and absorption","Digestive system","Organismal Systems","Protein digestion and absorption"
"00511","Other glycan degradation",18,3,0.166666666666667,10.1419047619048,5.01744530406352,0.00296839855569424,0.195337577305492,"Man2b2,Aga,Glb1","00511","Other glycan degradation","Glycan biosynthesis and metabolism","Metabolism","Other glycan degradation"
"04512","ECM-receptor interaction",89,6,0.0674157303370786,4.10234349919743,3.79882849795784,0.00340660959134373,0.195337577305492,"Col6a1,Lama2,Col6a2,Fn1,Lamc1,Col6a3","04512","ECM-receptor interaction","Signaling molecules and interaction","Environmental Information Processing","ECM-receptor interaction"
"04518","Integrin signaling",153,8,0.0522875816993464,3.18177404295051,3.51350305697215,0.00371975396712498,0.195337577305492,"Col6a1,Lama2,Col6a2,C3,Fn1,Lamc1,Src,Col6a3","04518","Integrin signaling","Signaling molecules and interaction","Environmental Information Processing","Integrin signaling"
"04610","Complement and coagulation cascades",94,6,0.0638297872340425,3.88413373860182,3.6303371818645,0.00446343684337495,0.195337577305492,"C6,C3,Serpine1,Cfi,Serpina1a,C4b","04610","Complement and coagulation cascades","Immune system","Organismal Systems","Complement and coagulation cascades"
"04820","Cytoskeleton in muscle cells",233,10,0.0429184549356223,2.6116492949111,3.21510216749306,0.00510210089977032,0.195337577305492,"Col6a1,Nid1,Atp1a4,Lama2,Col6a2,Col5a2,Fn1,Pkp2,Col6a3,Fbln2","04820","Cytoskeleton in muscle cells","Cell motility","Cellular Processes","Cytoskeleton in muscle cells"
"04510","Focal adhesion",202,9,0.0445544554455446,2.71120226308345,3.17378858707532,0.00611691928556515,0.204916796066432,"Col6a1,Lama2,Col6a2,Shc2,Fn1,Lamc1,Src,Emp1,Col6a3","04510","Focal adhesion","Cellular community - eukaryotes","Cellular Processes","Focal adhesion"
"05100","Bacterial invasion of epithelial cells",77,5,0.0649350649350649,3.95139146567718,3.35962158818526,0.00862559473146692,0.256851043114793,"Arpc2,Shc2,Fn1,Dnm1,Src","05100","Bacterial invasion of epithelial cells","Infectious disease: bacterial","Human Diseases","Bacterial invasion of epithelial cells"
"04978","Mineral absorption",55,4,0.0727272727272727,4.42555844155844,3.29214914869646,0.0125333004706891,0.335892452614468,"Atp1a4,Cybrd1,Slc8a1,Slc31a1","04978","Mineral absorption","Digestive system","Organismal Systems","Mineral absorption"
"00561","Glycerolipid metabolism",63,4,0.0634920634920635,3.86358276643991,2.94652975286782,0.0197954824159374,0.482289935224657,"Glyctk,Dgat2,Mogat2,Dgkk","00561","Glycerolipid metabolism","Lipid metabolism","Metabolism","Glycerolipid metabolism"
"00051","Fructose and mannose metabolism",37,3,0.0810810810810811,4.93389961389961,3.09829149943539,0.0225182430373157,0.502907427833384,"Pfkl,Pfkfb3,Fcsk","00051","Fructose and mannose metabolism","Carbohydrate metabolism","Metabolism","Fructose and mannose metabolism"
"05219","Bladder cancer",41,3,0.0731707317073171,4.45254355400697,2.86293243981762,0.0294636915760874,0.607405334030109,"Rb1,Myc,Src","05219","Bladder cancer","Cancer: specific types","Human Diseases","Bladder cancer"
"05203","Viral carcinogenesis",228,8,0.0350877192982456,2.13513784461153,2.23953621289867,0.034498949287521,0.647578031041835,"Ikbkg,Hdac9,Ranbp1,Traf3,Rb1,C3,Src,H2-Q10","05203","Viral carcinogenesis","Cancer: overview","Human Diseases","Viral carcinogenesis"
"05220","Chronic myeloid leukemia",76,4,0.0526315789473684,3.20270676691729,2.49092772662851,0.036245039050849,0.647578031041835,"Ikbkg,Shc2,Rb1,Myc","05220","Chronic myeloid leukemia","Cancer: specific types","Human Diseases","Chronic myeloid leukemia"
"04151","PI3K-Akt signaling pathway",368,11,0.0298913043478261,1.81892857142857,2.06656473436938,0.0403375329444828,0.672726430204064,"Col6a1,Ikbkg,Lama2,Col6a2,Myc,Fn1,Lamc1,Ret,Fgf21,Col6a3,Ntrk2","04151","PI3K-Akt signaling pathway","Signal transduction","Environmental Information Processing","PI3K-Akt signaling pathway"
"04066","HIF-1 signaling pathway",117,5,0.0427350427350427,2.6004884004884,2.25002217031672,0.0435747671573094,0.672726430204064,"Pfkl,Pfkfb3,Mknk1,Vhl,Serpine1","04066","HIF-1 signaling pathway","Signal transduction","Environmental Information Processing","HIF-1 signaling pathway"
"00531","Glycosaminoglycan degradation",21,2,0.0952380952380952,5.79537414965986,2.84317199746268,0.0459651410638171,0.672726430204064,"Naglu,Glb1","00531","Glycosaminoglycan degradation","Glycan biosynthesis and metabolism","Metabolism","Glycosaminoglycan degradation"
"04919","Thyroid hormone signaling pathway",120,5,0.0416666666666667,2.53547619047619,2.18643669498568,0.0476932916935717,0.672726430204064,"Atp1a4,Pfkl,Med4,Myc,Src","04919","Thyroid hormone signaling pathway","Endocrine system","Organismal Systems","Thyroid hormone signaling pathway"
