"Gene","log2FoldChange","pvalue"
"Fap",0.402383457392715,0.002964258247592
"Dnmt3l",1.64503168283966,0.00793755753574304
"Serpinf1",0.608368836644573,0.00351020491498716
"Fmr1",0.638564036005773,0.000815976730231909
"Col6a1",0.557660138364598,0.00137500946031837
"Lsr",-0.426837455124192,0.00288208910656475
"Cct3",-0.156309125067707,0.00806599414385998
"Ergic1",0.293337951982668,0.00884137498974135
"Naglu",0.280132337377002,0.00494911270244805
"Gtf2f1",-0.312440895681632,0.00405741407342441
"Prkar2b",0.415847003149526,0.00166842091621252
"Ddx23",-0.186676141866339,0.00762347291293623
"Ncstn",0.283441324368466,0.00872182523130851
"Nob1",-0.21254114320067,0.00294135158586933
"Ruvbl2",-0.15489222193929,0.00422115093708754
"Mmd",1.14692186930599,0.00759210517674441
"Dnmt1",0.206630612491334,0.00886783233208636
"Ikbkg",0.216983849412565,0.00861596049375332
"Polr2e",-0.266574585724841,0.00979288117318606
"Hdac9",0.920556296907349,0.000505896761891496
"Plod3",0.287073569092796,0.000101835119396992
"Prcc",-0.214259090102566,0.0054034870784955
"Chd5",0.490419181425079,0.00713965202987882
"Nid1",0.476073416946869,0.00724481005075538
"Ranbp1",-0.201374253044389,0.00836511349782311
"Gpr108",-0.131018744426349,0.00502955075993251
"Prg4",2.18871238035746,1.85556292905522e-05
"Htra1",0.551149223061102,0.00425235771821363
"Arpc2",-0.167342472567112,0.00466700669835995
"Hfe",0.400015766968889,0.00789072505822065
"Aplp1",0.419900673250492,0.00694206234631783
"Tph2",4.23910922756114,2.25790570696565e-06
"Atp1a4",2.64132050839755,0.0011214778134905
"Pcdha11",-5.1378035492892,0.00274604787389523
"Tssk4",-0.801492212023163,0.0046855490506543
"Phax",-0.238748332793981,0.000264163351462186
"Tbx1",-0.773699189497946,0.00181532262779836
"Slc16a12",1.52685383567905,0.00179667779201045
"Tor2a",-0.241439552750536,0.00608317285603735
"Gfod2",-0.287258038549049,0.00343389628301886
"Dedd",-0.184410345104873,0.00556067095675213
"Rnf168",-0.203580844596356,0.00284353102795311
"Prpf3",-0.173981989385054,0.00617933946610946
"Lbp",0.846896056642684,0.00493939190599486
"Mpped2",0.746794145989639,0.00770543648596964
"Cd34",0.352445857290413,0.00974215547872867
"Cd274",0.799871980698694,7.30865676574921e-05
"Anxa6",0.509976195101112,0.00110538292218702
"Rab3d",0.419115694958549,0.000723003014561748
"Hsd17b1",-1.0466163703459,0.00829068647233816
"Xab2",-0.145546034721565,0.00750216291851346
"Cd164",0.29975633711377,0.000741115982098256
"Rab32",0.408506171653457,0.0016660475793055
"Ptprk",0.756245602556873,0.00753968631099313
"Lama2",0.316696279805569,0.00444016286524785
"Epyc",0.597316699168106,0.00906530120654141
"Map7",0.504301252675396,0.00140053699085839
"Aifm2",0.759284376089999,0.00456268981906439
"Slc1a4",0.525734503906338,0.00196581756406342
"Col6a2",0.627143341712829,0.000616294931010461
"Glyctk",0.920982371575591,9.20797841903762e-05
"Pfkl",0.429877279173865,0.00494924665199122
"Erlec1",0.347027887883454,0.000154786733407403
"Shc2",0.562833041177493,0.00111766797318365
"Slc22a4",0.781332472657831,0.00722103146287326
"Slu7",-0.174762033808296,0.00340981051596364
"Efemp1",0.369347486289213,0.00377183736911436
"Rnf187",-0.157478301239382,0.00331227471104344
"Twistnb",-0.190158032178483,0.00636093279731612
"Mrc2",1.07029982301148,0.00011636222368436
"Sap30bp",-0.119842709720779,0.00851642238145715
"Mia2",0.240277210356809,0.00342253222714216
"Serpina3n",0.724986618070889,1.65600047132007e-05
"Entpd5",0.393066755673406,0.00176751991787792
"Traf3",0.366992446040853,0.00128020436147113
"Rasgrf2",0.523759596821208,0.00977829734245421
"Nln",0.340632225603119,0.00197608507165596
"Adamdec1",-0.620203804707615,0.00924410141420029
"Dmtn",0.233908280173806,0.00980185953200798
"Rb1",0.244791909698309,0.00976746754487017
