"Gene","log2FoldChange","pvalue","padj"
"Fap",0.402383457392715,0.002964258247592,0.223170010581104
"Dnmt3l",1.64503168283966,0.00793755753574304,0.29259576046951
"Serpinf1",0.608368836644573,0.00351020491498716,0.230501233440046
"Fmr1",0.638564036005773,0.000815976730231909,0.144255580727178
"Col6a1",0.557660138364598,0.00137500946031837,0.176773683257007
"Lsr",-0.426837455124192,0.00288208910656475,0.222558742795328
"Cct3",-0.156309125067707,0.00806599414385998,0.295049342341873
"Ergic1",0.293337951982668,0.00884137498974135,0.300843014270975
"Naglu",0.280132337377002,0.00494911270244805,0.255953129637002
"Gtf2f1",-0.312440895681632,0.00405741407342441,0.244944552054712
"Prkar2b",0.415847003149526,0.00166842091621252,0.189184423890533
"Ddx23",-0.186676141866339,0.00762347291293623,0.288668128594377
"Ncstn",0.283441324368466,0.00872182523130851,0.300843014270975
"Nob1",-0.21254114320067,0.00294135158586933,0.223170010581104
"Ruvbl2",-0.15489222193929,0.00422115093708754,0.247483417614163
"Mmd",1.14692186930599,0.00759210517674441,0.288003058922901
"Dnmt1",0.206630612491334,0.00886783233208636,0.300843014270975
"Ikbkg",0.216983849412565,0.00861596049375332,0.300843014270975
"Polr2e",-0.266574585724841,0.00979288117318606,0.310065345034386
"Hdac9",0.920556296907349,0.000505896761891496,0.124176824001226
"Plod3",0.287073569092796,0.000101835119396992,0.055912840292075
"Prcc",-0.214259090102566,0.0054034870784955,0.261884175730755
"Chd5",0.490419181425079,0.00713965202987882,0.284048572966072
"Nid1",0.476073416946869,0.00724481005075538,0.284048572966072
"Ranbp1",-0.201374253044389,0.00836511349782311,0.298460055032237
"Gpr108",-0.131018744426349,0.00502955075993251,0.257983757067668
"Prg4",2.18871238035746,1.85556292905522e-05,0.0236491826103933
"Htra1",0.551149223061102,0.00425235771821363,0.248518743509269
"Arpc2",-0.167342472567112,0.00466700669835995,0.25221671314025
"Hfe",0.400015766968889,0.00789072505822065,0.292085828612841
"Aplp1",0.419900673250492,0.00694206234631783,0.281241143288496
"Tph2",4.23910922756114,2.25790570696565e-06,0.00588861808376641
"Atp1a4",2.64132050839755,0.0011214778134905,0.15917355850793
"Pcdha11",-5.1378035492892,0.00274604787389523,0.220260265756509
"Tssk4",-0.801492212023163,0.0046855490506543,0.25221671314025
"Phax",-0.238748332793981,0.000264163351462186,0.0847923717678007
"Tbx1",-0.773699189497946,0.00181532262779836,0.194937674507232
"Slc16a12",1.52685383567905,0.00179667779201045,0.194937674507232
"Tor2a",-0.241439552750536,0.00608317285603735,0.270041103124177
"Gfod2",-0.287258038549049,0.00343389628301886,0.230501233440046
"Dedd",-0.184410345104873,0.00556067095675213,0.264326213447773
"Rnf168",-0.203580844596356,0.00284353102795311,0.222200117480201
"Cacfd1",-0.145227262905889,0.00183127800054723,0.194937674507232
"Prpf3",-0.173981989385054,0.00617933946610946,0.271995229158033
"Lbp",0.846896056642684,0.00493939190599486,0.255953129637002
"Mpped2",0.746794145989639,0.00770543648596964,0.290066724273464
"Cd34",0.352445857290413,0.00974215547872867,0.310065345034386
"Cd274",0.799871980698694,7.30865676574921e-05,0.0476524421126848
"Rab11fip4",0.468319455376795,0.000239778612452152,0.0833410258339063
"Anxa6",0.509976195101112,0.00110538292218702,0.15917355850793
"Rab3d",0.419115694958549,0.000723003014561748,0.140992265609408
"Hsd17b1",-1.0466163703459,0.00829068647233816,0.297769692007254
"Xab2",-0.145546034721565,0.00750216291851346,0.288003058922901
"Cd164",0.29975633711377,0.000741115982098256,0.140992265609408
"Rab32",0.408506171653457,0.0016660475793055,0.189184423890533
"Ptprk",0.756245602556873,0.00753968631099313,0.288003058922901
"Lama2",0.316696279805569,0.00444016286524785,0.249189849013761
"Epyc",0.597316699168106,0.00906530120654141,0.301192063674895
"Map7",0.504301252675396,0.00140053699085839,0.177041997671368
"Aifm2",0.759284376089999,0.00456268981906439,0.251841165039575
"Slc1a4",0.525734503906338,0.00196581756406342,0.203043651765441
"Col6a2",0.627143341712829,0.000616294931010461,0.13459913484077
"Glyctk",0.920982371575591,9.20797841903762e-05,0.0548900747813717
"Pfkl",0.429877279173865,0.00494924665199122,0.255953129637002
"Erlec1",0.347027887883454,0.000154786733407403,0.0687121362938735
"Shc2",0.562833041177493,0.00111766797318365,0.15917355850793
"Slc22a4",0.781332472657831,0.00722103146287326,0.284048572966072
"Slu7",-0.174762033808296,0.00340981051596364,0.230501233440046
"Efemp1",0.369347486289213,0.00377183736911436,0.238794409107664
"Rnf187",-0.157478301239382,0.00331227471104344,0.230501233440046
"Twistnb",-0.190158032178483,0.00636093279731612,0.273914371654101
"Mrc2",1.07029982301148,0.00011636222368436,0.0622508060243717
"Sap30bp",-0.119842709720779,0.00851642238145715,0.299912358277087
"Mia2",0.240277210356809,0.00342253222714216,0.230501233440046
"Serpina3n",0.724986618070889,1.65600047132007e-05,0.0236491826103933
"Entpd5",0.393066755673406,0.00176751991787792,0.194937674507232
"Traf3",0.366992446040853,0.00128020436147113,0.170128559221233
"Rasgrf2",0.523759596821208,0.00977829734245421,0.310065345034386
"Nln",0.340632225603119,0.00197608507165596,0.203098713965665
"Adamdec1",-0.620203804707615,0.00924410141420029,0.304690255775474
"Dmtn",0.233908280173806,0.00980185953200798,0.310065345034386
"Rb1",0.244791909698309,0.00976746754487017,0.310065345034386
"Med4",-0.246388201716737,0.00150762698025302,0.18094721808092
"Dab2",0.474336576735737,0.00906511749188126,0.301192063674895
"C6",2.45855231383047,0.00184084322695631,0.19496118318384
"Ngdn",-0.25874146907255,0.00633283824162485,0.273914371654101
"Myc",-0.420814467581757,0.00693398170157197,0.281241143288496
"Enpp2",0.26473259282209,0.00509959205994513,0.258875641699989
"Csnk1e",-0.217771828670693,0.00192575162578352,0.201407868901574
"Fgf12",0.871629095218109,0.00211889825371456,0.209327921738496
"Glyr1",0.127497660516185,0.00353529499141174,0.230501233440046
"Muc13",1.89750903874712,0.00449076798452714,0.249189849013761
"Cep89",-0.153344305505908,0.006662804681451,0.276367309888258
"Denr",-0.256686823049434,0.00587909009111487,0.269585353101144
"Parp3",0.249566341516951,0.00208200832426849,0.207842208983434
"Slc22a3",0.865795949639443,0.00582356783926645,0.268218365118002
"Crisp2",1.53631835344226,0.00731592926542307,0.284775276480946
"Cdc5l",-0.179464474196601,0.00083892665471201,0.145861381032595
"Cebpz",-0.226670189044663,0.000342254327160777,0.0991776983594783
"Ralbp1",-0.274533376294938,0.00848094127999431,0.299401622446364
"C3",0.474808466500249,0.00502303905657053,0.257983757067668
"Jpt2",0.351670645226871,0.00602231160445136,0.270041103124177
"Tapbp",0.26617636394164,0.00298517120243179,0.223170010581104
"Hsd17b4",0.431361397846422,0.0040586003371457,0.244944552054712
"Grpel2",-0.18878492061575,0.00688364598164021,0.280508573751839
"Nedd4l",0.290440812270344,0.000262356457350986,0.0847923717678007
"Prrc1",0.18512312771177,0.00433159665995591,0.249189849013761
"Isoc1",0.405679272714285,0.00906578872641077,0.301192063674895
"Fads3",0.668061032538069,0.00115056551664553,0.161110059995251
"Vldlr",0.768403587885831,9.11807021547168e-05,0.0548900747813717
"Ltbp3",0.67379850027045,0.000159759417819371,0.0694420936121534
"Men1",-0.133282218815481,0.00653647272370435,0.275509024055288
"Tbl1x",0.286084805484911,0.00172154390415169,0.193109096861403
"Fam20c",0.63107629315156,4.999213229731e-05,0.0476524421126848
"Cdk15",-0.510764200168124,0.00150838453874957,0.18094721808092
"Col5a2",0.446813975064536,0.00696396536600012,0.281581731388036
"Osgepl1",0.286506004808058,0.00142227603073316,0.177524636844814
"Fn1",0.637451665465021,0.00906471487076789,0.301192063674895
"Ccdc93",0.255573983503212,0.00986043658405727,0.310065345034386
"Nifk",-0.214281773718268,0.000808902440390109,0.144247354840164
"Steap3",0.45264387365049,0.00438950833199537,0.249189849013761
"Pkp1",2.64752611530446,0.000336262920087904,0.0988139375311834
"Lamc1",0.348509582411351,0.00722721547574013,0.284048572966072
"Uck2",-0.209750159556427,0.0065946645310062,0.27604873720526
"Dpt",1.16566472409355,0.00976809206603036,0.310065345034386
"Lpgat1",1.33795192073485,0.000958094507607899,0.156228187911779
"Optn",0.321017574643542,0.00683659377806447,0.279711052847924
"Pfkfb3",0.924242742577357,0.00634707798368878,0.273914371654101
"Dnm1",0.357973894834002,0.00562375993441538,0.265086588604233
"Ttll11",-0.419566712642202,0.00941626475626758,0.306923697563974
"Brd3",-0.260733393434376,0.00397209805755122,0.243746629037496
"Zmynd19",-0.166150725539446,0.0032115145425677,0.227908297333784
"Cybrd1",0.420720989907729,0.00932790888633443,0.305078605338566
"Eif3j1",-0.201917553717961,0.00873835064628449,0.300843014270975
"Acoxl",2.33446649524736,0.00853853243944545,0.299912358277087
"Nop56",-0.31272917635532,0.000783891047291569,0.140992265609408
"Src",0.220379189910603,0.00972520518645084,0.310065345034386
"Sec62",-0.258351356977804,0.00433332101982786,0.249189849013761
"Bche",0.823508301955042,0.00811864032246835,0.295614854603804
"Tsc22d2",0.400402189532296,0.0067013182293493,0.277413300668936
"Ptgfrn",0.612050838276061,0.00273589841549987,0.220260265756509
"Col15a1",0.574801812212517,0.000440343293022461,0.117786185456675
