"Gene","log2FoldChange","pvalue"
"Cdc45",-0.230294686672592,0.0244973150100351
"Tfe3",0.146371228587636,0.00618008320647567
"Pih1d2",-0.467483479513199,0.0208248899614456
"Mnt",0.345863883950075,0.00312839588014346
"Acvrl1",0.20149877257238,0.0141532334691363
"Grasp",0.237886667699031,0.0455574719945896
"Acvr1b",0.395344619867691,0.00542987080330784
"Zfp385a",0.452596351684075,0.0211793961892328
"Loxl3",0.182060839815368,0.0209981183955241
"Il12rb1",-1.22852653904979,0.00223202601273908
"Top1mt",-0.206077848502468,0.0149086080701287
"Ccl3",1.46865436305245,0.018040209321432
"Sec24b",0.137409767007691,0.0328206176578829
"Hpn",0.964785506647305,0.00258693006287721
"Rarg",0.248627363213534,0.000557042804251268
"Rrp15",-0.190674436891673,0.0157870700810654
"Fndc5",-0.505279418877161,0.0254566973927337
"Cnn1",2.0138627927164,0.00129732000029179
"Mef2d",0.238826714958276,0.0305908296746116
"Meox1",-0.357612105620759,0.0320433689075934
"Klhl10",-1.08782054031403,0.00491847410758821
"Brpf1",0.156349102800618,0.000864613574607206
"Akr1b3",-0.282545078575929,0.0302707456652911
"Ddx18",-0.147668279036266,0.0124835548650591
"Eef1e1",-0.209870189971403,0.0440496513109864
"Folh1",-0.50248439831802,0.0101865387735747
"Ltbp1",0.324738825323061,0.0186499677811478
"Nfix",0.394400877759537,0.00188630524701351
"Vwf",0.594581528329311,0.00494265371346023
"Gria3",-0.222332750107194,0.0375744108630294
"Spi1",0.617455891215913,0.0304614916935087
"Ppm1j",0.682411926976309,0.0482094362891449
"Ppard",0.176666680604894,0.0423963634620649
"Peg3",1.09167426070163,1.03537182795064e-05
"Zim1",1.95815531607591,6.09246544340239e-09
"Daxx",0.181003418259372,0.0303546016094008
"Cd320",-0.35278259558169,0.00874570156597293
"Gmpr2",-0.15878391548806,0.00895495392196652
"Ocel1",0.172373132955644,0.0251966210292891
"Tgfb1",0.343070766525501,0.0465159914876659
"Lcp2",0.612622006535249,0.0248945893041551
"Prkra",-0.13390153182435,0.0335366170528191
"Ykt6",-0.0865861492288474,0.0195509287465209
"Pex6",0.162390171398223,0.043542296713706
"Top3a",0.165380768083909,0.0399090814507124
"Plin4",0.857442372257427,0.0460830669541982
"Med25",0.136649064477651,0.0474742174833117
"Relb",0.17166534659624,0.0339871705084134
"Stk11",0.104579648265556,0.0485296665117386
"Cnot11",0.107668682885018,0.0290383559379864
"Dgcr2",0.135110416535257,0.0200978418258886
"Ebi3",1.40490206966674,0.000572680866984363
"Hck",1.09783795021586,0.00253628090863687
"Etv3",0.166277445503657,0.0355645010731001
"Dgcr6",-0.229767865019628,0.0339586463062887
"Rps6ka1",0.297162701770318,0.0304489136628586
"Man1a",0.289439191082567,0.0497365919983759
"Gcdh",-0.170188226193809,0.0176088201629678
"Nqo1",-0.183430311818966,0.0409881039031897
"Gstm5",-0.2038989682265,0.0388831481451617
"Gstm7",-0.310542501607889,0.000996361910974938
"Akt2",0.233987188740199,0.0376437207605902
"Angptl2",0.38230224548274,0.0204437300560472
"Atn1",0.258852650422166,0.00496871655674877
"Ptpn6",1.00261582291659,0.000981405908362328
"Arid3b",0.413668476110579,0.0117199477939721
"Adgre1",0.907120765804912,0.0195602733106406
"Pou1f1",-1.67359337555008,0.0436327586784005
