"Gene","log2FoldChange","pvalue"
"Cdc45",-0.230294686672592,0.0244973150100351
"Acvrl1",0.20149877257238,0.0141532334691363
"Grasp",0.237886667699031,0.0455574719945896
"Acvr1b",0.395344619867691,0.00542987080330784
"Top1mt",-0.206077848502468,0.0149086080701287
"Ccl3",1.46865436305245,0.018040209321432
"Sec24b",0.137409767007691,0.0328206176578829
"Hpn",0.964785506647305,0.00258693006287721
"Cnn1",2.0138627927164,0.00129732000029179
"Mef2d",0.238826714958276,0.0305908296746116
"Meox1",-0.357612105620759,0.0320433689075934
"Klhl10",-1.08782054031403,0.00491847410758821
"Eef1e1",-0.209870189971403,0.0440496513109864
"Vwf",0.594581528329311,0.00494265371346023
"Gria3",-0.222332750107194,0.0375744108630294
"Spi1",0.617455891215913,0.0304614916935087
"Ppm1j",0.682411926976309,0.0482094362891449
"Ppard",0.176666680604894,0.0423963634620649
"Daxx",0.181003418259372,0.0303546016094008
"Gmpr2",-0.15878391548806,0.00895495392196652
"Lcp2",0.612622006535249,0.0248945893041551
"Pex6",0.162390171398223,0.043542296713706
"Top3a",0.165380768083909,0.0399090814507124
"Med25",0.136649064477651,0.0474742174833117
"Relb",0.17166534659624,0.0339871705084134
"Stk11",0.104579648265556,0.0485296665117386
"Cnot11",0.107668682885018,0.0290383559379864
"Dgcr2",0.135110416535257,0.0200978418258886
"Ebi3",1.40490206966674,0.000572680866984363
"Hck",1.09783795021586,0.00253628090863687
"Etv3",0.166277445503657,0.0355645010731001
"Rps6ka1",0.297162701770318,0.0304489136628586
"Man1a",0.289439191082567,0.0497365919983759
"Akt2",0.233987188740199,0.0376437207605902
"Ptpn6",1.00261582291659,0.000981405908362328
"Arid3b",0.413668476110579,0.0117199477939721
"Adgre1",0.907120765804912,0.0195602733106406
"Pou1f1",-1.67359337555008,0.0436327586784005
"Slc2a9",0.49036766869393,0.0119757357994006
"Dnah2",0.625430823932063,0.0196013602004429
"Slc1a3",0.93621573249826,0.00122234391950864
"Hmox1",-0.206546854170459,0.0355618793435266
"Cic",0.265097818990708,0.00243241121182415
"Igf1r",0.230509346323648,0.0355930090336245
"Trim28",0.103882932724001,0.0388930595393301
"Mrvi1",0.492706462990889,0.00623412942780508
"Gata6",0.841273512133483,0.0351232344601736
"Fblim1",0.485185780710775,0.0402778090272983
"Cbfa2t3",0.378943523381282,0.0190325037139393
