"Gene","log2FoldChange","pvalue","padj"
"Klf6",-0.226479216920423,0.000266625180869346,0.0759598717971788
"Fer",0.296653317912585,0.00848042729790048,0.163952756202593
"Pih1d2",-0.534947654321577,0.00999468013315624,0.16792825523148
"Mnt",0.383847083974908,0.00163643278070477,0.103990456635866
"Trappc10",0.178608248506086,0.00895703791020951,0.166862571405926
"Galnt1",0.284672155707452,0.00779011599570512,0.160821306495739
"Acvr1b",0.493547935379591,0.000861773501757259,0.0907039160734584
"Top1mt",-0.286649646237057,0.0010117796198741,0.0920095116807531
"Rmnd5b",-0.160642874683565,0.00966300778510185,0.167344906445173
"Rarg",0.216864178483852,0.00380662576628334,0.129947616136915
"Sync",0.657870520516811,0.00429464393208827,0.133275901380258
"Cnn1",1.69082114610146,0.00942559159250746,0.167344906445173
"Meox1",-0.506269096723712,0.00350101721312949,0.126081765530234
"Jup",0.391133268549572,0.00711204951123728,0.155417546849901
"Klhl10",-1.30500008490552,0.00083762394596457,0.0907039160734584
"Ddx18",-0.222942601347054,0.000278356604385314,0.0759598717971788
"Clpb",0.177113854744752,0.00732464326409072,0.156241922632148
"Nup214",0.250975459225677,0.005056550647903,0.140367383130068
"Nfix",0.419940162801261,0.00147941502050574,0.101434477984901
"Uba1",0.27516435613808,0.00826939935300862,0.163219219166449
"Vwf",0.665072265834335,0.00252358903025169,0.114368859145517
"Siae",0.247612835938769,0.00935491379647607,0.167344906445173
"Supt6",0.327868945396858,0.000877609849517012,0.0907039160734584
"Spag5",-1.46078561768271,0.000703862144547529,0.0907039160734584
"Slc39a13",-0.219128605706915,0.00464896798222586,0.136754642031992
"Peg3",1.14086128113776,9.5423866249874e-06,0.0193371163629467
"Zim1",2.09591692946191,2.33116232593166e-09,2.12578692501708e-05
"Ciao3",-0.237970717373486,0.00399067733203877,0.130667815407043
"Gmpr2",-0.164417505117097,0.00918418988940955,0.167344906445173
"Mdp1",-0.271354532551847,0.00668919222230932,0.152306476592356
"Golga2",0.149696880977493,0.00988803110934177,0.167444671654759
"Scin",1.0775114092584,0.000416075166019088,0.0822570549926918
"Axl",0.428933932395794,0.00577905817498502,0.146244626002675
"Top3a",0.240217461965986,0.00428642795702691,0.133275901380258
"Plin4",1.25933320263446,0.00488473618873485,0.139274503241986
"Arrdc2",-0.828546931090797,0.00344849963567465,0.125536399911046
"Dgcr2",0.16501746875165,0.00639330928233926,0.149680583685884
"Zfp959",-0.27665852147947,0.00302285159545627,0.122845129906246
"Etv3",0.29409096809628,0.000363255498489485,0.0822570549926918
"Fcgrt",0.26192301524799,0.0057055976786754,0.146086743123639
"Supt5",0.181125801573213,0.00488437228841808,0.139274503241986
"Kpna6",0.272324962195476,0.0074597440130804,0.158033554116011
"Hlf",0.36256599923345,0.00591164985367838,0.147167839556728
"Akt2",0.305221206797119,0.00919095462734359,0.167344906445173
"Atn1",0.325284689798338,0.000698402472193858,0.0907039160734584
"Pou1f1",-2.99737405620997,0.000157482777370991,NA
"Slc2a9",0.556805149386831,0.00630896314227162,0.149562065779115
"Polr2a",0.371415086231765,0.00917964546889116,0.167344906445173
"Slc1a3",0.973275740581191,0.00124020958061811,0.094109479047641
"Cic",0.301308468031422,0.000933589053801558,0.0907039160734584
"Asf1b",-0.800314909467659,0.00269634636146399,0.116869423317977
"Ddx39",-0.285315938388602,0.00319951560942605,0.124392793204394
"Por",0.491162338337357,0.0038274264475788,0.129947616136915
"Adcy9",0.801316555669759,0.000446509948693743,0.0822570549926918
"Pcyt1a",0.207450914008303,0.00320811786100199,0.124392793204394
"Mthfd2",-0.430180387436018,0.0086491701075643,0.164659253049852
"Bcas2",-0.173169538510411,0.00717079317393401,0.155751009385198
"Rfx5",0.503807737834989,0.000378047058398051,0.0822570549926918
"Ncoa2",0.254135901286056,0.00691818546613798,0.154624836435569
"Itgae",-0.667040981343163,9.50016965306787e-05,0.0604001230008119
"Kmt2b",0.233692022972643,0.00559674014913495,0.145819066914176
"Mettl1",-0.431241060068273,0.00238148154122836,0.113403290728258
"Sulf2",0.720938713699223,0.00719915017610057,0.155751009385198
"Ap2s1",-0.334750348763049,0.00583227240482698,0.146280267215314
"Hdac5",0.168378161979694,0.00267513164578077,0.116441649059069
"Nf2",0.222930533715561,0.00383826931564432,0.129947616136915
"Fxyd5",-0.369337650228758,0.00919283223907866,0.167344906445173
"Nprl2",-0.249324246390624,0.00827761098568988,0.163219219166449
"Nxf1",-0.288947609746501,0.00535361769917965,0.143166099116772
"2610507B11Rik",0.322671640829617,0.0083774110054511,0.163952756202593
"Plin5",1.40205173045472,0.0013278400801179,0.0988454995150623
"Amotl1",0.286381676829874,0.00796068257400192,0.162263654321286
"Chp1",0.358661068104622,0.00952039744646174,0.167344906445173
"Srp19",-0.39551853578018,0.00127879294514008,0.0959778836768101
"Nolc1",-0.137204603882334,0.00318825946044909,0.124392793204394
"Anxa9",-0.481207791191163,0.00979953200585799,0.167344906445173
"Rxra",0.3495837424514,0.00630279428009083,0.149562065779115
"Ppfibp1",0.283964949258385,0.00512904065552895,0.141471584577084
"Gtf3a",-0.229018735025471,0.0038013122697168,0.129947616136915
"Lnx2",0.310170801937105,0.00793750551766816,0.162109995107762
"Il10",2.34182145253219,0.00517351893428705,NA
"Cmah",0.965791751035424,0.000297369854164657,0.0776659922302483
"C1qtnf1",1.03970039166537,0.00325284328272218,0.124975754182645
"Pgs1",-0.17103373304071,0.00436413634309101,0.133275901380258
"H2bc4",-0.322730731041407,0.00991784343539371,0.167793718529416
"Zcchc10",-0.306616814211938,0.00353468533693011,0.126081765530234
"Mtmr4",0.17816912424957,0.00172987112185528,0.104468177219856
"Akap1",0.394522672648574,0.00905612211521208,0.167344906445173
"Kdm6b",0.408353567965339,0.000180002796308659,0.0683935624807775
"Wnt9b",2.56232781856137,0.00131111987406705,NA
"Pip4k2b",0.25923468850907,0.000424026954283003,0.0822570549926918
"Tbx3",0.67676973580607,0.0024797553959265,0.11423791305922
"Sp2",0.190372537559079,0.00935882732781346,0.167344906445173
"Dync1h1",0.340870890552071,0.00552484519279432,0.145162836885672
"Zbtb4",0.279747012857137,0.000162896825164321,0.0660202732743753
"Rad51d",0.32566882126978,0.00707778073101802,0.155336419942607
"Pank3",0.507280493797496,0.0047466232343408,0.137629434893335
"Arrb1",0.404210364327772,0.0022509185913228,0.113403290728258
"Ptger1",0.469831370057571,0.00779504523205577,0.160821306495739
"Rwdd1",-0.269869699015167,0.00668000099452191,0.152306476592356
"Tube1",-0.504607590303303,0.000254899260446446,0.0737913128892425
"Qrsl1",-0.26069051531945,0.00113479151212113,0.0920095116807531
"Uhrf1bp1l",0.36611526448794,0.00604898499151523,0.148190125149402
"Dusp6",-0.419466026471949,0.000978668596064642,0.0918742819440499
"Sgk1",-0.859987616537777,0.00302734783977247,0.122845129906246
"Cry1",-0.29455544767793,0.00131328336783752,0.0981625494369701
"Ccar1",-0.413122717428843,0.00158244997707349,0.103309603792902
"Mdm2",-0.154047626299978,0.00553971567454915,0.145162836885672
"Sptbn1",0.315769839723641,0.00282185236701911,0.119964903192761
"Kremen1",0.260596258216449,0.00326039122602467,0.124975754182645
"Itk",-1.15925999191615,0.00241409467135282,0.113481334133582
"Fam114a2",-0.191490215824461,0.0043984999540891,0.133275901380258
"Srebf1",0.579334976854127,4.34316639944216e-05,0.0440059271072367
"Pik3cg",0.877474897584276,0.00280940044917551,0.119964903192761
"Rgs9",0.586271925629226,0.00707189871544092,0.155336419942607
"Rnf144a",0.324148257798274,0.0011074480730907,0.0920095116807531
"Ncoa1",0.30896683939056,0.0029880501805829,0.122845129906246
"Dus4l",-0.240641811093029,0.0079259294267451,0.162055045835176
"Mmp28",0.336272015289998,0.00766080834820211,0.160043324919256
"Adap2",0.966350744981312,0.000838761029238772,0.0907039160734584
"Nt5c",-0.31758917077161,0.00862253034212974,0.164495510857492
