"Gene","log2FoldChange","pvalue"
"Scmh1",0.140321279562886,0.030209166907198
"Pih1d2",-0.41352827276823,0.0387295189823115
"Slfn4",0.860163348231464,0.0266615118100095
"Mnt",0.259051466742092,0.0269438786994291
"Mcts1",-0.249907088606244,0.0209490980405386
"Fap",-0.306292271465214,0.0189140465827044
"Ndufa9",-0.272421828453426,0.0156600728972337
"C1d",-0.159916566932887,0.036623909970595
"Il12rb1",-1.00344904984161,0.0109729691115441
"Heatr6",0.123976828870913,0.0268387726714736
"Epn2",0.113723474580993,0.0163108250757043
"Nhp2",-0.273758972889524,0.031110631342903
"Mxd1",0.198672531010358,0.0481784592584909
"Myg1",-0.14764419730174,0.0278612788408553
"Rarg",0.24428325354384,0.000692676601121341
"Rrp15",-0.165023193879835,0.0361309255392385
"Rnd2",-0.237793909609276,0.0480092922150823
"Fndc5",-0.450622999502197,0.0460903071215635
"Brpf1",0.0982643606971712,0.0364973967617461
"Folh1",-0.471673107696054,0.0158080983722044
"Cpa3",-0.900259953796629,0.00811308193950142
"Cd3g",-0.768870482452469,0.0353017395737524
"Sdf2",-0.248244515319839,0.00199092244458179
"Peg3",0.967071569499083,9.3743997258211e-05
"Zim1",1.74581058198694,2.18914802646172e-07
"Cd320",-0.283836019861022,0.0346960762081388
"Prkra",-0.207805862387366,0.000989377905196417
"Fkbp7",-0.307715404893077,0.00523267884862813
"Ykt6",-0.0833247652328411,0.0244914159747333
"Timmdc1",-0.172680930094405,0.0492102660953529
"Pla1a",-0.593857247869897,0.0342096911139669
"Fam32a",-0.153745631995066,0.00907261669378736
"Foxj2",0.149554873882841,0.0317910842503985
"Rps11",-0.239113959552859,0.0389434921828451
"Dgcr6",-0.268039487440744,0.013367515012916
"Ddr1",0.163375643066935,0.0392147852095004
"Aven",-0.195699226584874,0.00981466372976391
"Cp",-0.328205057969636,0.00648763785869202
"Coq8b",-0.1795697689409,0.0450245760106247
"Gcdh",-0.207085036999882,0.00387009089155146
"Gstm5",-0.309850897079989,0.00170516198546925
"Gstm7",-0.277390143109205,0.00318848056021597
"Cacna1e",1.02959475678026,0.0223706279207147
"Atn1",0.198592864584706,0.0311676041062134
"Eno2",0.304794454470074,0.0110067879081832
"Pnpla6",0.214112090429549,0.00349376683958093
"Slbp",-0.183231702199917,0.039610463899881
"Cnn2",-0.145373715886138,0.015846729123032
"Ccl24",-0.765438500907577,0.0328891174614462
"Ap1s1",-0.179586219145159,0.0478104616627734
"Slc25a18",1.87281873714356,0.00870729262091728
"Thop1",-0.192290575594268,0.0170018253462234
"Jkamp",-0.130860437410947,0.0477941479697007
"Prdx2",-0.172998538546491,0.0457520646858685
"Fcer1a",-1.03023213565796,0.00296975395661871
"Txn2",-0.202837068807085,0.00952121458547755
"Il5ra",-1.46552026453271,0.0330979362648284
"Tbl2",0.156487899928283,0.0101545196139103
"Pafah1b3",-0.288471025814054,0.0331373404706965
"Zfp592",0.1531122824744,0.0183592529824133
"Psmd4",-0.145728714951131,0.0416149644500714
"Agrp",-1.8084146754706,0.0370198165939181
"Psmb4",-0.204992033733595,0.0320912676697457
"Mmp8",1.83981962171665,0.00487573609549878
"Rsl1d1",-0.105498407579256,0.0455783161338638
"Spo11",-2.51169937752858,0.0111634077562899
"Odr4",-0.111155237607048,0.0431445148404994
"Sra1",-0.230222013642121,0.0142797337049251
"Eps8l1",-0.65851925733429,0.0383501795763136
"Osgep",-0.161775814504192,0.0252426795899148
"Kmt2b",0.202027312586577,0.0128068815765784
"Actn3",2.8733973873058,0.0197162481376641
"Slc4a1",1.99673669427636,0.0311178772406745
"Zfp184",-0.482724500503291,0.0130008688324464
"Clic1",-0.160903272125656,0.0292877470590998
"Cct4",-0.143068215888321,0.0197240274296924
"Arid1a",0.233787413637152,0.00399549794988271
"Snrpb2",-0.211663926984631,0.0182652804287624
"Prpf31",-0.166721653692205,0.0107428966093369
"Rps18",-0.30817848865953,0.0219174515270631
"Rpl10",-0.218457026857226,0.0196287660820128
"Met",0.279631208408196,0.0240944109749658
"Cox4i2",0.566195754410911,0.0202191208964823
"Rps25",-0.295960723915337,0.043756524655827
"Cacna2d2",0.841839064240506,0.046355912290437
"Kansl3",0.10559711159053,0.0220100549349626
"Tsacc",-0.549025837731232,0.0207684765395225
"Pigyl",-0.275424445223552,0.0207576024751941
"Apip",-0.251718271242675,0.0171826229269655
"Thg1l",-0.258317338993465,0.0184338462298612
"Plin5",1.17945027266852,0.00514308102728758
"Git1",0.190533308684619,0.0451390043016518
"Rpl15",-0.208964527791924,0.0217140958123186
"Rpa3",-0.263361567995669,0.0233399909561826
"Rps5",-0.27547726896284,0.0267171702506759
"Elof1",-0.236827691420482,0.0293953507046918
"Myl2",-2.92123876456852,0.0283355621298433
"Camta1",0.200996318228149,0.0446500548142089
"Psmb1",-0.200660121761502,0.0275598143526112
"Endog",-0.365180329870879,0.0139962699530882
"Mocs2",-0.18660763775647,0.0168724990384682
"Atp6v0e",-0.268284481587221,0.0154711359307404
"Psma2",-0.199524268057991,0.0124378638151214
"Mrpl32",-0.190797364546111,0.0262543337338446
"Setdb1",0.129094911336636,0.0316715311884013
"Chdh",0.312478113752669,0.00356805658226992
"Hsd11b1",-0.718651442165597,0.00139363024146616
"Prelid3b",-0.146728789589401,0.0437295194534699
"Ndufa1",-0.34113587049673,0.0342145925189646
"Nup50",0.183329425376577,0.00597875874160185
"Mrps18c",-0.433724514061193,0.00276539095575725
"Etaa1",0.162818276967632,0.0312788848421348
"Nlk",0.150521479950662,0.0257356233598924
"Abr",0.167720523097451,0.0204116910600308
"Slc12a7",0.215996302073483,0.0320580222376762
"Vezf1",0.139423651274601,0.0229655314605306
"Mtmr4",0.143864154848141,0.00809479774237872
"Ypel2",0.236794252477783,0.003294025134629
"Kdm6b",0.25752115845079,0.0139519642169048
"Pcgf2",0.179126682507416,0.0275189297468506
"Atox1",-0.36571007965426,0.00958242682680461
"Cdk5rap3",-0.16670233798143,0.0245928677888342
"Rars",-0.180820544587107,0.0282614249398185
"Cxcl16",-0.460999110634323,0.0456071352440186
"Dnah1",-0.630771569001793,0.00200357137431333
"Fkbp8",-0.16688103415791,0.0185926855303746
"Cdc37",-0.144397264177709,0.028217144946035
"Cops6",-0.216320187284766,0.00694175366840857
"Ccdc12",-0.264884100540987,0.00743409335066149
"Rwdd1",-0.187855413544699,0.049569286315684
"Hint3",-0.226715709360438,0.0236501190522825
"Hebp2",-0.341965258110024,0.00822019750863742
"Rtn4ip1",0.162742807897565,0.0158206478967667
"Nts",-1.37170905136631,0.02879201125256
"Dcn",-0.420210690576634,0.00120840472070298
"Poc1b",0.1380428495586,0.00497237916433161
"Snrpf",-0.250474981319125,0.0305467857022451
"Tmcc3",0.189973469339898,0.0147942513213721
