"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","Description"
"GO:0007059","chromosome segregation",438,26,0.0593607305936073,2.94855520882918,5.89563879632235,1.09853677723465e-06,0.000126799191840382,"Uhrf1,Spo11,Kif11,Anapc1,Mybl2,Fbxo5,Trappc12,Ska3,Esco2,Cenpf,Anapc2,Kif2c,Kif23,Clasp2,Ino80,Ncapd3,Uvrag,Misp,Kif15,Sun1,Stag1,Ccnb1,Cdca2,Rgs14,Espl1,Setdb2","chromosome segregation"
"GO:0007163","establishment or maintenance of cell polarity",241,18,0.0746887966804979,3.70992806677454,6.05846453188359,2.15809303846942e-06,0.000238929588280746,"Tcirg1,Cd3g,Fbxw11,Llgl1,Ska3,Dst,Kif2c,Sipa1l3,Parva,Clasp2,Snap91,Misp,Ctnna1,Rhoj,Ankfn1,Plekhg3,Patj,Fat1","establishment or maintenance of cell polarity"
"GO:0002274","myeloid leukocyte activation",292,20,0.0684931506849315,3.40217908711059,5.91736025162464,2.27300493592535e-06,0.000238929588280746,"Ttbk1,Psen1,Havcr2,Trem2,Batf3,Stxbp1,Clec4d,Wnk4,C1qa,Cd84,Lat2,Ptpn11,Cd300lf,Mrgprb2,Cx3cr1,Fcer1g,Pirb,Fcgr3,Pilrb1,Lilrb4a","myeloid leukocyte activation"
"GO:0098813","nuclear chromosome segregation",326,21,0.0644171779141104,3.19971812303101,5.72924593154325,3.36259758769333e-06,0.000314518826090281,"Uhrf1,Spo11,Kif11,Anapc1,Mybl2,Fbxo5,Trappc12,Ska3,Cenpf,Anapc2,Kif2c,Kif23,Clasp2,Ino80,Ncapd3,Misp,Kif15,Sun1,Stag1,Ccnb1,Espl1","nuclear chromosome segregation"
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",34,7,0.205882352941176,10.2265500794913,7.71647092573996,4.32238498239253e-06,0.000366389664523116,"Fcgr1,Ctss,H2-Ob,Fcer1g,Fcgr3,H2-Eb2,H2-Ab1","antigen processing and presentation of exogenous peptide antigen"
"GO:0000819","sister chromatid segregation",229,17,0.074235807860262,3.68742729004738,5.85529179366492,4.47110448114077e-06,0.000373165258618287,"Uhrf1,Kif11,Anapc1,Mybl2,Fbxo5,Ska3,Anapc2,Kif2c,Kif23,Clasp2,Ino80,Ncapd3,Misp,Kif15,Stag1,Ccnb1,Espl1","sister chromatid segregation"
"GO:0007051","spindle organization",207,16,0.0772946859903382,3.83936731762819,5.87913693458491,5.08743084563954e-06,0.000399990033878181,"Uhrf1,Kif11,Mybl2,Fbxo5,Ska3,Kif23,Clasp2,Ino80,Uvrag,Misp,Kif15,Stag1,Ccnb1,Rgs14,Gnai1,Espl1","spindle organization"
"GO:0000070","mitotic sister chromatid segregation",189,15,0.0793650793650794,3.94220751363609,5.81912837084959,7.26229270540419e-06,0.000554900534180532,"Uhrf1,Kif11,Mybl2,Fbxo5,Ska3,Kif2c,Kif23,Clasp2,Ino80,Ncapd3,Misp,Kif15,Stag1,Ccnb1,Espl1","mitotic sister chromatid segregation"
"GO:0043087","regulation of GTPase activity",85,10,0.117647058823529,5.84374290256643,6.41153295367385,8.12397192649269e-06,0.000603733530153738,"Tiam1,Als2,Ralgapb,Bcar3,Thy1,Rgs8,Sipa1l1,Rgs14,Rapgef2,Lrch1","regulation of GTPase activity"
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II",25,6,0.24,11.9212355212355,7.83079143828114,8.27243659577416e-06,0.000606459034217227,"Trem2,Ctss,H2-Ob,Fcer1g,H2-Eb2,H2-Ab1","antigen processing and presentation of peptide antigen via MHC class II"
