"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","Description"
"GO:1904020","regulation of G protein-coupled receptor internalization",6,3,0.5,53.6041666666667,12.5042796093995,1.57006751702954e-05,0.00450367828538704,"App,Aplnr,Ubqln2","regulation of G protein-coupled receptor internalization"
"GO:0140053","mitochondrial gene expression",168,9,0.0535714285714286,5.74330357142857,5.98508472405968,3.00555713220733e-05,0.0058988013400006,"Mrps18c,Mrpl27,Hsd17b10,Mrps5,Mrps10,Mrpl47,Mrpl23,Tefm,Mrps9","mitochondrial gene expression"
"GO:0015980","energy derivation by oxidation of organic compounds",466,15,0.0321888412017167,3.45091201716738,5.18085908313472,3.56470799476086e-05,0.00661072691453296,"Dguok,App,Mpc1,Ndufv2,Gaa,Wipi2,Ndufc2,Coq7,Ndufb11,Abcd1,Zbtb7a,Stk40,Slc25a51,Tefm,Immp2l","energy derivation by oxidation of organic compounds"
"GO:0002031","G protein-coupled receptor internalization",21,4,0.19047619047619,20.4206349206349,8.63898333182001,3.9001338728808e-05,0.00661072691453296,"Pld2,App,Aplnr,Ubqln2","G protein-coupled receptor internalization"
"GO:0030100","regulation of endocytosis",365,13,0.0356164383561644,3.81837899543379,5.26211759233751,4.27456757637479e-05,0.00682328143985191,"Pld2,App,Itsn1,Sod1,Nedd4l,Lrsam1,Tor1a,Fgr,Csk,Pip5k1c,Scarb1,Aplnr,Ubqln2","regulation of endocytosis"
"GO:0006119","oxidative phosphorylation",147,8,0.054421768707483,5.83446712018141,5.70379225898777,7.46141690435592e-05,0.00869488238635726,"Dguok,Ndufv2,Ndufc2,Coq7,Ndufb11,Abcd1,Slc25a51,Tefm","oxidative phosphorylation"
"GO:0006635","fatty acid beta-oxidation",79,6,0.0759493670886076,8.14240506329114,6.16933038234331,9.74034157526068e-05,0.0103776382097563,"Gcdh,Eci3,Hsd17b10,Acoxl,Abcd1,Pex2","fatty acid beta-oxidation"
"GO:0002029","desensitization of G protein-coupled receptor signaling pathway",28,4,0.142857142857143,15.3154761904762,7.35416740533719,0.000126757195075651,0.0121199379599257,"Pld2,App,Aplnr,Ubqln2","desensitization of G protein-coupled receptor signaling pathway"
"GO:0019395","fatty acid oxidation",120,7,0.0583333333333333,6.25381944444444,5.59748751928067,0.00013693496690592,0.0124559364746333,"Gcdh,Eci3,Hsd17b10,Acoxl,Adh5,Abcd1,Pex2","fatty acid oxidation"
"GO:0022401","negative adaptation of signaling pathway",29,4,0.137931034482759,14.7873563218391,7.20837122641356,0.000145966551145693,0.0126583550981928,"Pld2,App,Aplnr,Ubqln2","negative adaptation of signaling pathway"
"GO:0023058","adaptation of signaling pathway",29,4,0.137931034482759,14.7873563218391,7.20837122641356,0.000145966551145693,0.0126583550981928,"Pld2,App,Aplnr,Ubqln2","adaptation of signaling pathway"
"GO:0002068","glandular epithelial cell development",12,3,0.25,26.8020833333333,8.67478974088749,0.000165686993987149,0.0137299289017351,"Rarg,Rara,Fzd5","glandular epithelial cell development"
"GO:0045333","cellular respiration",367,12,0.0326975476839237,3.50544959128065,4.69083921547325,0.000186852612399511,0.0143588870387633,"Dguok,App,Mpc1,Ndufv2,Ndufc2,Coq7,Ndufb11,Abcd1,Zbtb7a,Slc25a51,Tefm,Immp2l","cellular respiration"
"GO:0002218","activation of innate immune response",369,12,0.032520325203252,3.48644986449865,4.66811836417756,0.000196418230579031,0.0143588870387633,"Dhx58,Tnip1,Traf3,App,Irf7,Nmi,Gbp3,Clec4e,Mark4,Gramd4,Zdhhc18,Mfhas1","activation of innate immune response"
"GO:0072522","purine-containing compound biosynthetic process",264,10,0.0378787878787879,4.06092171717172,4.85071741948747,0.000200231194962642,0.0143588870387633,"Gcdh,Dguok,Mpc1,Ndufv2,Nme4,Nme7,Acss2,Ndufc2,Ndufb11,Slc25a51","purine-containing compound biosynthetic process"
"GO:0032543","mitochondrial translation",128,7,0.0546875,5.86295572916667,5.35180783120806,0.000204328481848678,0.014376243562523,"Mrps18c,Mrpl27,Mrps5,Mrps10,Mrpl47,Mrpl23,Mrps9","mitochondrial translation"
"GO:0000956","nuclear-transcribed mRNA catabolic process",129,7,0.0542635658914729,5.81750645994832,5.32256351488596,0.000214361568039827,0.0144828882133508,"Noct,Magoh,Magohb,Dcps,Upf1,Casc3,Samd4b","nuclear-transcribed mRNA catabolic process"
"GO:0034440","lipid oxidation",130,7,0.0538461538461538,5.77275641025641,5.2936243545445,0.000224788305573302,0.0144828882133508,"Gcdh,Eci3,Hsd17b10,Acoxl,Adh5,Abcd1,Pex2","lipid oxidation"
"GO:0009060","aerobic respiration",320,11,0.034375,3.68528645833333,4.69024398305904,0.000225263479853673,0.0144828882133508,"Dguok,App,Mpc1,Ndufv2,Ndufc2,Coq7,Ndufb11,Abcd1,Zbtb7a,Slc25a51,Tefm","aerobic respiration"
"GO:0002221","pattern recognition receptor signaling pathway",324,11,0.0339506172839506,3.63978909465021,4.63986927968001,0.000250549945775093,0.0153164057015627,"Dhx58,Tnip1,Traf3,App,Irf7,Nmi,Clec4e,Mark4,Gramd4,Zdhhc18,Mfhas1","pattern recognition receptor signaling pathway"
"GO:0022904","respiratory electron transport chain",97,6,0.0618556701030928,6.63144329896907,5.39185271848192,0.000301255607503666,0.0175528462559558,"Dguok,Ndufv2,Ndufc2,Coq7,Slc25a51,Immp2l","respiratory electron transport chain"
"GO:1990000","amyloid fibril formation",35,4,0.114285714285714,12.252380952381,6.46377595491625,0.000307983207542822,0.0176687597065721,"App,Hspg2,Camp,Pfdn4","amyloid fibril formation"
"GO:0002758","innate immune response-activating signaling pathway",334,11,0.0329341317365269,3.53081337325349,4.51734075195478,0.00032446545422676,0.0180586817733073,"Dhx58,Tnip1,Traf3,App,Irf7,Nmi,Clec4e,Mark4,Gramd4,Zdhhc18,Mfhas1","innate immune response-activating signaling pathway"
"GO:1903311","regulation of mRNA metabolic process",337,11,0.0326409495548961,3.49938180019782,4.48149280798683,0.000349929711387807,0.0186268427401158,"Noct,Magoh,Magohb,Dcps,Zbtb7a,Larp1,Upf1,Srrm4,Rbm15b,Casc3,Samd4b","regulation of mRNA metabolic process"
"GO:0031641","regulation of myelination",65,5,0.0769230769230769,8.24679487179487,5.67628468861354,0.000354654286550877,0.0186268427401158,"Rarg,Tnfrsf21,Cdk18,Zpr1,Rara","regulation of myelination"
"GO:1905906","regulation of amyloid fibril formation",16,3,0.1875,20.1015625,7.41611100871584,0.000410265692637994,0.0203984102379611,"App,Hspg2,Pfdn4","regulation of amyloid fibril formation"
"GO:2000622","regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",16,3,0.1875,20.1015625,7.41611100871584,0.000410265692637994,0.0203984102379611,"Magoh,Magohb,Casc3","regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"GO:0022900","electron transport chain",106,6,0.0566037735849057,6.06839622641509,5.07378646176427,0.000485152879734757,0.0234952608900118,"Dguok,Ndufv2,Ndufc2,Coq7,Slc25a51,Immp2l","electron transport chain"
"GO:1904022","positive regulation of G protein-coupled receptor internalization",4,2,0.5,53.6041666666667,10.2093046771695,0.000513483470125435,0.0242377197480727,"App,Aplnr","positive regulation of G protein-coupled receptor internalization"
"GO:2001288","positive regulation of caveolin-mediated endocytosis",4,2,0.5,53.6041666666667,10.2093046771695,0.000513483470125435,0.0242377197480727,"Itsn1,Nedd4l","positive regulation of caveolin-mediated endocytosis"
"GO:0006163","purine nucleotide metabolic process",475,13,0.0273684210526316,2.93412280701754,4.12847178740607,0.000561967689004621,0.0257296911285736,"Dguok,Hsd11b1,Tkt,App,Noct,Ndufv2,Nme4,Nme7,Ndufc2,Ndufb11,Zbtb7a,Pde9a,Slc25a51","purine nucleotide metabolic process"
"GO:0002833","positive regulation of response to biotic stimulus",478,13,0.0271966527196653,2.91570781032078,4.10230063681627,0.000595782341512684,0.0264484803750095,"Dhx58,Tnip1,Traf3,App,Irf7,Nmi,Gbp3,Clec4e,Mark4,Gramd4,Zdhhc18,Camp,Mfhas1","positive regulation of response to biotic stimulus"
"GO:0009062","fatty acid catabolic process",111,6,0.0540540540540541,5.79504504504505,4.91253039499835,0.000619583501473513,0.0271814926705262,"Gcdh,Eci3,Hsd17b10,Acoxl,Abcd1,Pex2","fatty acid catabolic process"
"GO:0030258","lipid modification",202,8,0.0396039603960396,4.24587458745875,4.49398047790579,0.000646504298998141,0.0280327271042334,"Gcdh,Eci3,Hsd17b10,Acoxl,Adh5,Abcd1,Inppl1,Pex2","lipid modification"
"GO:0031076","embryonic camera-type eye development",43,4,0.0930232558139535,9.97286821705426,5.71400980037338,0.000684759814324978,0.0290166971320209,"Rarg,Arid1a,Rara,Fzd5","embryonic camera-type eye development"
"GO:0061013","regulation of mRNA catabolic process",206,8,0.0388349514563107,4.16343042071197,4.42333350966346,0.000734746828563969,0.0301964551045849,"Noct,Magoh,Magohb,Dcps,Larp1,Upf1,Casc3,Samd4b","regulation of mRNA catabolic process"
"GO:0006406","mRNA export from nucleus",77,5,0.0649350649350649,6.96158008658009,5.08358185821272,0.000774933170354634,0.0304720167015281,"Eny2,Magoh,Magohb,Rbm15b,Casc3","mRNA export from nucleus"
"GO:0070525","tRNA threonylcarbamoyladenosine metabolic process",20,3,0.15,16.08125,6.54686605142938,0.000812484043150894,0.0304720167015281,"Osgep,Lage3,Hsd17b10","tRNA threonylcarbamoyladenosine metabolic process"
"GO:0060349","bone morphogenesis",117,6,0.0512820512820513,5.49786324786325,4.73152468085294,0.000817163226106948,0.0304720167015281,"Rarg,Hspg2,Inppl1,Rara,Megf8,Dhrs3","bone morphogenesis"
"GO:0055095","lipoprotein particle mediated signaling",5,2,0.4,42.8833333333333,9.08825921059482,0.000850535846258117,0.0313845273039271,"App,Scarb1","lipoprotein particle mediated signaling"
"GO:0042254","ribosome biogenesis",318,10,0.0314465408805031,3.37133123689727,4.12874932261322,0.000858466555376927,0.0313845273039271,"Myg1,Rrp15,Rps25,Rpp40,Rps4x,Mphosph6,Mcat,Mettl5,Grwd1,Nol7","ribosome biogenesis"
"GO:0031623","receptor internalization",164,7,0.0426829268292683,4.57596544715447,4.45775301178634,0.000906424945240849,0.0328161031145935,"Pld2,App,Nedd4l,Ulk1,Pip5k1c,Aplnr,Ubqln2","receptor internalization"
"GO:0006879","intracellular iron ion homeostasis",81,5,0.0617283950617284,6.61779835390946,4.91366556134556,0.000975106981297953,0.0339829339557015,"Sod1,Slc11a2,Glrx3,Frrs1,Ttc7","intracellular iron ion homeostasis"
"GO:0045089","positive regulation of innate immune response",443,12,0.0270880361173815,2.90406320541761,3.92253408542887,0.000994595776358388,0.0343411819448188,"Dhx58,Tnip1,Traf3,App,Irf7,Nmi,Gbp3,Clec4e,Mark4,Gramd4,Zdhhc18,Mfhas1","positive regulation of innate immune response"
"GO:0002224","toll-like receptor signaling pathway",82,5,0.0609756097560976,6.53709349593496,4.87297504244848,0.00103064089278703,0.0349387262654803,"Tnip1,Traf3,App,Irf7,Mfhas1","toll-like receptor signaling pathway"
"GO:1901293","nucleoside phosphate biosynthetic process",329,10,0.0303951367781155,3.25861195542047,4.0007952044985,0.00110946034625731,0.0369390859927993,"Gcdh,Dguok,Mpc1,Ndufv2,Nme4,Nme7,Acss2,Ndufc2,Ndufb11,Slc25a51","nucleoside phosphate biosynthetic process"
"GO:0045017","glycerolipid biosynthetic process",223,8,0.0358744394618834,3.84603886397608,4.14186293941691,0.00122415014019542,0.0400425953753398,"Mogat1,Pld2,Pi4k2a,Inppl1,Pip5k1c,Ttc7,Scarb1,Dpm1","glycerolipid biosynthetic process"
"GO:0018026","peptidyl-lysine monomethylation",6,2,0.333333333333333,35.7361111111111,8.25695136715728,0.00126795343180203,0.0411147682364327,"Setd6,Setd7","peptidyl-lysine monomethylation"
