"Gene","log2FoldChange","pvalue"
"Gpr107",-0.163366758601122,0.00493591716221936
"S100a4",0.482846951160048,0.00950209948767406
"Kctd10",-0.296399695057267,6.56606411033926e-05
"Itga3",-0.33448832848508,0.00242610481170163
"Ifrd1",0.24591639444863,0.00540136527058846
"Slc9a3r2",-0.256730282800995,0.00161921818291092
"Ddx23",-0.188573822042131,0.00702369517093461
"Supt5",-0.165721413453697,0.00996611795691496
"Map3k11",-0.261768106502513,0.00215215170592619
"Ndrg1",-0.289610675597777,0.00524066231163964
"Mprip",-0.1783923587403,0.00168330369554166
"Ddx39",0.261267541240365,0.00718431811983181
"Iglon5",0.559907305789195,0.00102306643778478
"Dedd",-0.17611675908609,0.00808680378584881
"Rbsn",-0.168689964155217,0.00838168282894325
"Rnd3",0.361940074026893,0.00155324683404784
"Plxdc1",0.699865744682955,0.00050818273663994
"Etv4",0.509689639481234,0.00855454507336882
"Ints2",0.227104187859128,0.00654600395849039
"Pip4k2b",-0.227639000571593,0.00190572104610495
"Lsp1",0.56123733452155,0.00709968969709164
"Hars2",0.159715020184876,0.00284341429757665
"Tlcd1",0.311797676398282,0.00389827668822312
"Rgs17",0.701507167550025,0.00281020989653307
"Arfgef3",0.641220140771938,0.000989478208508141
"Rspo3",-0.644521303013953,0.00883924963379685
"Tbk1",0.134339365372797,0.00383667728491988
"Wif1",2.47952480838085,0.00286146765652098
"Aebp1",0.393388926005469,0.00833651605994144
"Galnt10",-0.233348264724308,0.00258694675791127
"Rsad2",-0.474167635608401,0.00682966769442018
"Srp68",-0.14433592210726,0.00843886315244048
"Nxn",-0.273817454231962,0.000488242018060293
"Galnt16",-0.350830186069857,0.00215179761733072
"Ppp1r13b",-0.290183056918084,0.0028608250702045
"Fancc",0.172179442136128,0.00700100483399338
"Nkd2",0.617911110530395,0.000789345781054084
"Plpp1",-0.248690522234602,0.00296949127885812
"Samd4",-0.334753947410382,0.00242686916757501
"Scara5",0.454112211292129,0.00712280910178542
"Ankrd33b",-0.340002663271186,0.00893041445130213
"Osr2",0.573310402977522,0.00548484218376489
"Dscc1",0.816719258344138,0.00916828555568697
"Col2a1",0.892418233923965,0.00217691133381536
"Nit2",0.327473323671286,0.000327448692124246
"P2rx6",0.644510716190046,0.0050189039940883
"Tnk2",-0.18130514577882,0.00802006969954423
"Rcan1",-0.245350146926867,0.000174399218179864
"Tmbim6",-0.164856815499469,0.00274444673483936
"Kcnk5",-0.395027875106335,0.00307651073352557
"Ptk7",0.508214840671828,0.00224830912517648
"Adamts10",0.500317892024863,0.00337723657778646
"Scgb1a1",0.890852371654405,0.00280723219815782
"Rtn3",-0.150686241835904,0.00594368487182978
"Tjp2",-0.268458848828543,0.00837676011535721
"Plce1",-0.348911697135041,0.00863980779725828
"Rabgef1",-0.249462731104213,0.007044238365599
"Cd151",-0.173381926724901,0.00329573484651097
"Rassf3",-0.209845698443031,0.00676411765417698
"Mettl21a",0.177556340038415,0.00877945708304187
"Plekhb2",-0.306451462548789,0.000643908333983827
"B3gat2",0.6059061862678,0.00187306155995593
"Steap3",0.486478630835929,0.00220236191984572
"Uck2",-0.222845431263335,0.00387515371015483
"Axdnd1",1.75021903732632,0.00502610971992376
"Myoc",0.603556078974257,0.000674932546853465
"Fam129b",-0.300043103909036,0.000547070789674851
"Dnm1",0.506825314117298,8.97754914406374e-05
"Camsap1",-0.202911714196318,0.00775786748688979
"Fbln7",-0.323278449683959,0.00213152780237574
"Ndrg3",-0.163128041170967,0.00959439888857342
"Ctnnbl1",-0.167411424032761,0.0080358001662164
"1700013F07Rik",2.93123706055249,0.00975263368919614
"Khdc4",0.198185948069041,0.00631127441068683
"Ecm1",0.52440215108321,0.00264465391023974
"Col15a1",0.519986639064168,0.00147499607504842
"Tln1",-0.299992511381137,0.00728821019428803
"Glipr2",0.448508134398757,0.00387622983574852
"Artn",1.29692927423933,0.00796111746284421
"Cdkn2c",0.440000367938511,0.00317794355548247
"Podn",0.558299313120676,0.000171947868261965
"Lrp8",-0.698997578168125,0.00129636444087491
"Ctps",-0.216978937392377,0.00456271878267424
"Rspo1",-0.459930349184055,0.000192611073524616
"Nub1",-0.175689802374456,0.008661483226891
"Slc4a2",-0.144936342392548,0.00569243574503161
"Ccnl2",0.463266918860924,0.00104224717100987
"Prom1",-0.485477809110987,0.00482596295281278
"Add1",-0.164150108974924,0.00898372850992405
"Evc",-0.20123638737546,0.00329526834403483
"Stk32b",0.740908857366012,0.0032312274424634
"Pi4k2b",0.21851468858908,0.00701638057152327
"Guf1",0.282950992990729,0.000298470203904832
"Brap",-0.124976830009975,0.00373203318443139
"Rbm19",-0.242967062847866,0.00180178686425043
"Oas1b",0.602575245965235,0.00892346529649785
"Gm20605",0.563517637011673,0.00894177071194642
"Adcyap1r1",0.454681383175841,0.00201352586615115
"Slc23a4",1.12672382977225,0.00641861540852851
"Gxylt2",0.513504025847071,0.00464128582324472
"A2m",0.572942124446228,0.00933245305290344
"Gabarapl1",-0.23968551253229,0.00100803651978435
"Caprin2",0.333671457884552,0.000187055421718302
"Tead4",-0.405778756919282,0.00391910077803682
"Mtmr10",-0.214673050696874,0.0034975852933333
"Lrrc28",-0.265653859865137,0.000458704455705295
"Ppme1",-0.209389696694718,0.0013818928936941
"Fgfr2",0.560405155858099,0.00127272278418964
"Gpc4",0.303044691947144,0.00805057295556305
"Plpp5",0.246504813083241,0.00631075783379617
"Mmp2",0.505252347489533,0.00110226120444086
"Amfr",-0.160904483850863,0.00782373349406375
"Snx19",-0.155447582287566,0.00366581327383734
"Dcun1d5",0.183958419524274,0.00934442227792239
"Thy1",0.698027526811711,0.00167981603125744
"Apeh",0.194376147607234,0.00683580457620124
"Amigo3",0.499699032064844,0.000903503437189832
"Uba7",0.366323860674457,0.00467899229289876
"Crebl2",-0.299893876628936,0.00600533447415068
"Malt1",0.221544516597204,0.00249911603110322
"Triobp",-0.157600238295388,0.00333021715476281
"Specc1l",-0.232804627500737,0.00441842259775109
"Casp4",0.359451589208044,0.00857664158508143
"Lyl1",0.571683997051791,0.00732062690557379
"Nek9",-0.203312847178672,0.00746614581146177
"Tmem132c",0.689740450036068,0.000996333977332534
"Ssh3",0.314563485783689,0.00217407342256058
"Fam171a2",-0.275462110199104,0.00905658917830115
"Tbxa2r",-0.346622144711793,0.00853637022585964
"Abi3bp",0.341678963108812,0.00288123447309948
"Gdpd5",-0.335930693937971,0.00999755568699622
"Usp35",0.445491355816319,0.00159910223806255
"Tmem161b",0.175926829855423,0.00998623432851843
"Lum",0.5863321183493,0.00515789343674298
"Oxsr1",-0.163171558999027,0.00965052965760294
"Spred3",0.406217292697081,0.00446764294388917
"Spon2",-0.261356292306341,0.00781738629466253
"Endod1",-0.320830323161529,0.00577983371966713
"Depdc5",-0.180196513348469,0.00515040458490621
"Gnpnat1",0.280871204580167,0.0035614931084027
"Ppp1r16b",-0.346289310131995,0.00113700257246111
"Rnf144b",-0.382087648174986,0.00731764604136579
"5033430I15Rik",0.714504732710465,0.00708483325681293
"Hoxa11",0.697633605675621,0.00761892659942436
"Tlcd2",0.513391504074594,0.00619001680733117
"Ankrd35",0.583231636012015,0.00100183960384614
"Mpp6",-0.240554158115173,0.00336946528843602
"Gpr162",0.582269044990404,0.00883100513529584
"Otud7b",-0.349162843118243,0.00585248360781998
"Slc19a3",-0.535091563978689,0.00457627145741813
"Itpkb",-0.273002224826191,0.00853484522707817
"Nipal2",0.495739212902371,0.000217525547913079
"Rccd1",0.515487140540706,0.00099337733395724
"Tspyl5",0.324452729235528,0.00632140543944756
"Gpatch2",-0.173618523772097,0.00877442052775718
"Igfbp2",1.88072812760773,0.00528183122801988
"Zfand1",0.199523048825027,0.00132643269358794
"Armh3",-0.212940982638648,0.000637328237305945
"Accs",0.332467382918982,0.0020371413914258
"Etfrf1",0.242242872126406,0.00507573737031704
"Szrd1",-0.123145379706228,0.0088647620914919
"Ramp3",-0.315631544686544,0.00766782455614627
"Slc7a1",-0.422692737447418,0.00328472757923769
"Meis3",0.412001371317874,0.000817165149809193
"Sox5",0.415870505549591,0.000339175360738136
"Cdc42ep4",-0.238947581597353,0.00158058655370021
"Gucy1a2",-1.07001302494247,0.00663367123982788
"Slc35f2",-0.542698423401689,0.00465715690187697
"Golga7b",-0.317511845888659,0.00897423886472299
"Gpr153",0.436087164469432,0.00880224839276393
"Snai1",0.502693905247021,0.00335251711969128
"Ptpn11",-0.199392438671245,0.00306953802017118
"Prr33",0.913563379901064,0.00726790495249614
