"Gene","log2FoldChange","pvalue","padj"
"Gpr107",0.214797532709127,0.000376063275673573,0.0577061261869521
"Tpd52l1",0.636968094371342,0.00575124731452781,0.116788455289616
"Trappc10",0.202903452526495,0.0041757330424917,0.106607839599558
"Tmprss2",0.894313644673604,0.00741894750735256,0.126785025701019
"Galnt1",0.304140291734003,0.00614171554422154,0.11923852715618
"Rab5b",0.226778197365091,0.00527439577909214,0.115583326076659
"Dnajc5",0.170514055291111,0.00584052142213237,0.117131864667051
"Heatr6",0.168599347475325,0.00538819576138291,0.115583326076659
"Luzp1",0.358208170974936,0.00576367598569738,0.116788455289616
"Kctd10",0.227010717005506,0.00321801412482603,0.0991400764980921
"Snrnp27",-0.464199486871437,0.00581375535358105,0.116997855346451
"Gramd1a",-0.335460207558964,0.00860865447955478,0.134737661118369
"Jup",0.407037450338464,0.00694610770082979,0.123975540076151
"Stk38l",0.234415039801591,0.00847211215043179,0.134058527997287
"Ddx18",-0.203143979856615,0.00139439865791193,0.0784003306477122
"Smo",0.2717313623074,0.00252149048802556,0.0943916541364706
"Folh1",0.570878230642586,0.00682528039019353,0.123472498158317
"Nup214",0.282897339768375,0.00229930758649203,0.0912967656512511
"Trmt1",-0.244797017495716,0.00448205405877269,0.110780433456008
"Nacc1",0.217711931623271,0.00524648735178131,0.115583326076659
"Uba1",0.318316120125652,0.0032354705970923,0.0991400764980921
"Vsig2",-0.702068334409008,0.00940899227116736,0.138606967671785
"Supt6",0.328861202601417,0.00129732922030825,0.0773722945115822
"Stat6",0.201206200036054,0.000111001828240533,0.0340325478596816
"Ciao3",-0.252527889175862,0.00322871042169453,0.0991400764980921
"Tiam1",0.377642333926128,0.00049255609114895,0.059474129333731
"Golga2",0.172832433694163,0.00407139345551268,0.105964128963175
"Ykt6",0.108898759739635,0.00638648669980289,0.12036785928643
"Timm44",-0.22125393125419,0.00332035159661522,0.0995712510029797
"Glg1",0.260963250762228,0.00245777949424199,0.0940403889082566
"Supt5",0.184195388547062,0.00579542195483739,0.116788455289616
"Dusp3",0.250977490226708,0.00212048910002542,0.0884898723299559
"Snrnp200",0.397574774592683,0.00485244287888719,0.113927847891943
"Kpna6",0.335568072125989,0.00147599699944459,0.0793838008166824
"Brinp2",1.30193969758185,0.00745123625965202,NA
"Ppan",-0.527096573610221,4.87865516174829e-05,0.0247818859267979
"Ikbkg",0.242980544178224,0.00457323021301797,0.111620581964923
"Atn1",0.319134992675003,0.00134555773546248,0.0777310235337168
"Emg1",-0.326597443316755,0.00118021837169972,0.0761686640516809
"Arhgef18",0.264319609042968,0.00427898207037647,0.108582917696167
"Hdac9",0.755575567021364,0.00597789096013718,0.11788529013893
"Ulk2",0.214184848242653,0.00601644812213934,0.118328834829419
"Pou1f1",-1.95556059575313,0.00367335874309213,NA
"Srpk1",-0.192954474678044,0.00987090547262176,0.14142174342193
"Rrnad1",-0.403897304391578,0.00679984713892997,0.12340007415805
"Tbl2",0.202773594589359,0.00206397182128455,0.0884090937450431
"Mprip",0.183303099528955,0.00187166973616176,0.0869506329727345
