"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","Description"
"GO:0048661","positive regulation of smooth muscle cell proliferation",123,9,0.0731707317073171,8.08018423531875,7.52423993024878,1.88647814991403e-06,0.000969796004953478,"Hmox1,Mmp9,Myb,Elane,Bmp4,Vegfa,Aif1,Smpd3,Ptgs2","positive regulation of smooth muscle cell proliferation"
"GO:0090209","negative regulation of triglyceride metabolic process",17,4,0.235294117647059,25.983337541025,9.85016291297746,1.42173646702076e-05,0.00225792813725371,"Plin5,Srebf1,Pik3cg,Nr1h4","negative regulation of triglyceride metabolic process"
"GO:0033002","muscle cell proliferation",293,12,0.0409556313993174,4.52269697813063,5.79723658192311,1.63080616892461e-05,0.00238731141010246,"Cnn1,Hmox1,Gata6,Mmp9,Myb,Elane,Bmp4,Zfpm2,Vegfa,Aif1,Smpd3,Ptgs2","muscle cell proliferation"
"GO:0048660","regulation of smooth muscle cell proliferation",202,10,0.0495049504950495,5.46679131432457,6.09267236039958,1.67022719923213e-05,0.00238731141010246,"Cnn1,Hmox1,Mmp9,Myb,Elane,Bmp4,Vegfa,Aif1,Smpd3,Ptgs2","regulation of smooth muscle cell proliferation"
"GO:0006790","sulfur compound metabolic process",302,12,0.0397350993377483,4.38791461785521,5.66141118823033,2.19846500587188e-05,0.00287467562680338,"Gnmt,Sqor,Slc5a6,Ehhadh,Csad,Chst1,Tdo2,Vnn1,Pdk2,Acacb,Acot4,Ces1d","sulfur compound metabolic process"
"GO:0048659","smooth muscle cell proliferation",210,10,0.0476190476190476,5.25853259758839,5.92344227215174,2.33333766301434e-05,0.00294275055853102,"Cnn1,Hmox1,Mmp9,Myb,Elane,Bmp4,Vegfa,Aif1,Smpd3,Ptgs2","smooth muscle cell proliferation"
"GO:0016042","lipid catabolic process",366,13,0.0355191256830601,3.92234808508642,5.38280300983827,3.23697538178704e-05,0.00349920524259926,"Pla1a,Plin5,Pik3cg,Ehhadh,Echs1,Pnpla2,Prdx6,Smpd3,Enpp6,Acacb,Hcar2,Ces1d,Gdpd1","lipid catabolic process"
"GO:0046503","glycerolipid catabolic process",70,6,0.0857142857142857,9.46535867565911,6.77970707082421,4.17886440423558e-05,0.00416720245706097,"Plin5,Pik3cg,Pnpla2,Prdx6,Ces1d,Gdpd1","glycerolipid catabolic process"
"GO:0030282","bone mineralization",145,8,0.0551724137931034,6.09264466479207,5.87867616536709,5.50667396500608e-05,0.00513317781781436,"Bmp4,Lox,Tmem38b,Smpd3,Ptgs2,Osr1,Mmp13,Phex","bone mineralization"
"GO:0032088","negative regulation of NF-kappaB transcription factor activity",25,4,0.16,17.668669527897,7.97089353882406,7.13861242313204e-05,0.00588660962892119,"Trim21,Cmklr1,Nr1h4,Nwd1","negative regulation of NF-kappaB transcription factor activity"
"GO:0042129","regulation of T cell proliferation",196,9,0.0459183673469388,5.07072786196023,5.46871826777859,7.91657965995787e-05,0.00621105511119304,"Ptpn6,Irf1,Bmp4,Btnl2,Aif1,Cd6,Itgal,Rac2,Ccdc88b","regulation of T cell proliferation"
"GO:0042098","T cell proliferation",243,10,0.0411522633744856,4.54441088680478,5.30679988655209,7.98803366495832e-05,0.00621105511119304,"Ebi3,Ptpn6,Irf1,Bmp4,Btnl2,Aif1,Cd6,Itgal,Rac2,Ccdc88b","T cell proliferation"
"GO:0048389","intermediate mesoderm development",2,2,1,110.429184549356,14.794150050633,8.16547047368082e-05,0.00621105511119304,"Bmp4,Osr1","intermediate mesoderm development"
"GO:0060993","kidney morphogenesis",114,7,0.0614035087719298,6.78073940215345,5.91323354671734,8.25629993791985e-05,0.00621105511119304,"Bmp4,Vegfa,Calb1,Osr1,Adamts16,Irx1,Hs3st3b1","kidney morphogenesis"
"GO:0072080","nephron tubule development",116,7,0.0603448275862069,6.66383010211632,5.84447333296027,9.2142347691594e-05,0.00669671842206026,"Bmp4,Vegfa,Calb1,Osr1,Adamts16,Irx1,Hs3st3b1","nephron tubule development"
"GO:0006887","exocytosis",410,13,0.0317073170731707,3.50141316863812,4.88079291494464,0.000102249887365808,0.00718766421351777,"Ccl3,Hck,Hmox1,Cadps2,P2rx1,Rab27b,Sytl2,Stx1b,Lamp1,Smpd3,Rac2,Prkcb,Mrgprb1","exocytosis"
"GO:0030324","lung development",255,10,0.0392156862745098,4.3305562568375,5.10945571866807,0.000118805010433766,0.00795993569906233,"Gata6,Sparc,Srebf1,Bmp4,Zfpm2,Vegfa,Lox,Tmem38b,Smpd3,Phex","lung development"
"GO:0061326","renal tubule development",122,7,0.0573770491803279,6.33610075283191,5.64756161581885,0.000126444325164618,0.00810501317358648,"Bmp4,Vegfa,Calb1,Osr1,Adamts16,Irx1,Hs3st3b1","renal tubule development"
"GO:0050670","regulation of lymphocyte proliferation",257,10,0.0389105058365759,4.29685542993604,5.07774970077012,0.000126640830837289,0.00810501317358648,"Ptpn6,Irf1,Bmp4,Btnl2,Aif1,Cd6,Itgal,Rac2,Ccdc88b,Ighd","regulation of lymphocyte proliferation"
"GO:0030323","respiratory tube development",258,10,0.0387596899224806,4.28020095152544,5.06201761647371,0.00013071970087702,0.00824303054942148,"Gata6,Sparc,Srebf1,Bmp4,Zfpm2,Vegfa,Lox,Tmem38b,Smpd3,Phex","respiratory tube development"
"GO:0090207","regulation of triglyceride metabolic process",55,5,0.0909090909090909,10.0390167772142,6.41493386135359,0.000140336303954973,0.00859660101941318,"Plin5,Srebf1,Pik3cg,Pnpla2,Nr1h4","regulation of triglyceride metabolic process"
"GO:0032944","regulation of mononuclear cell proliferation",262,10,0.0381679389312977,4.21485437211283,4.99987793671245,0.000148163535362881,0.00868590837474441,"Ptpn6,Irf1,Bmp4,Btnl2,Aif1,Cd6,Itgal,Rac2,Ccdc88b,Ighd","regulation of mononuclear cell proliferation"
"GO:0050995","negative regulation of lipid catabolic process",31,4,0.129032258064516,14.2489270386266,7.05583335727648,0.000170156294890275,0.00960039726959866,"Plin5,Pik3cg,Acacb,Hcar2","negative regulation of lipid catabolic process"
"GO:0072078","nephron tubule morphogenesis",91,6,0.0659340659340659,7.28104513512239,5.73782028094604,0.000181421991389251,0.0098473101149001,"Bmp4,Vegfa,Osr1,Adamts16,Irx1,Hs3st3b1","nephron tubule morphogenesis"
