"Gene","log2FoldChange","pvalue"
"Icam4",0.96290430468756,0.00430152805679923
"Tmem79",-1.00543011052748,0.0041456329148156
"Coasy",-0.251907687585674,0.00284796429447754
"Zim1",1.53717986566935,1.19530011557907e-05
"Ncan",-2.04240901320401,0.00867884332064248
"Spo11",-2.10348392775809,0.00784220981364547
"Lmbr1",0.252323446905838,0.00631820572342212
"Plin5",1.29663471909127,0.00298364343982615
"Ttll5",0.285970857400064,0.0018666716637767
"E2f3",-0.295398669332254,0.000132086446658094
"Mlx",-0.281288361737447,0.000264359490783301
"Mtmr4",0.147398909086396,0.0091730864750249
"Wnt9b",2.65473287344908,0.000813735456480663
"Pip4k2b",0.21306963377962,0.00371668388249171
"Vip",-2.45528443241424,0.00937265534616687
"Prss57",-1.13861134324871,0.00361909220618982
"Acsl6",0.436348077960466,0.00297316467469083
"Kremen1",0.256825443996474,0.00369376253709142
"Galnt10",0.211367969396431,0.00638668171552423
"Rnaseh1",-0.246688126100116,0.00437674495501212
"Acly",-0.919098819409907,1.00099838518665e-05
"Rps6ka5",0.240464992752358,0.00370936122715791
"Gpatch2l",0.226036711086691,0.00876397366855717
"Nedd9",0.304876259255435,0.00714326930985293
"Serpinb9b",-2.12171048484049,0.00513981058165982
"Ahrr",0.953688460697456,0.00382269091062657
"Dnah12",-2.6852629566791,0.00785320855769924
"Tkt",-0.324741824194611,0.000643072334602046
"Mgrn1",0.171759062094522,0.00191541810710722
"Rabl2",-0.292981854924018,0.00447845989847177
"Fmnl3",0.189209164882374,0.00368349938278187
"Npff",-0.839970384895606,0.00434048731007075
"Rrp36",-0.225300952892976,0.00443406390042986
"Cmtr1",0.159132277820031,0.00960845366313544
"Srbd1",0.267318106175593,0.000292825285639432
"Mzb1",-1.96870582922669,0.00904899072152559
"Mal2",-1.33383829300903,0.0013644802271458
"Gnal",0.47814180581845,0.00604841557079495
"Tnfrsf25",-0.945954742609471,0.000709291009129185
"Rin1",0.461071291453358,0.00483432117770628
"Ctsw",-1.20469165725699,0.00629230933540118
"Jph3",0.785021284733725,0.00487264556873605
"Adam8",-1.5268844143979,0.00248297489262352
"Gsta3",-1.13344926489866,0.00781916623659592
"Atg16l1",-0.18735528644629,0.00621880872150575
"Syt2",0.728519258845856,0.00487159632919876
"Slc27a2",2.66299476348148,0.00100499052298137
"Tgm3",2.66882372651373,0.00477411533976365
"Acss2",-0.999796165718035,6.84755404600526e-06
"Atp8b5",-0.832826474898507,0.00845346766325115
"Gne",0.158213653806792,0.009559606365346
"Slc4a2",0.135217863703684,0.00985789796593617
"Slc2a5",-4.47381115226337,7.65567379705752e-08
"Hgfac",-2.13242559996141,0.00139772214315528
"Cdc7",-0.467523742825653,0.00621745351921765
"Ddx55",-0.389542557988452,0.000465769038254689
"Stx2",0.106293336011816,0.0088308136863069
"Slc23a4",1.23902926470855,0.00529942121160936
"Anxa4",0.148375847916669,0.00807858024935409
"Bhlhe40",0.351978797743827,0.00857073827787903
"Gys2",-2.19807746595936,8.66544793167152e-05
"Mrgprf",0.343508049005159,0.000347301378653251
"Awat2",-1.00339421603135,0.00658730914712344
"Zcchc13",-3.17327230607512,0.00103068462135453
"Tti2",0.234349844980208,0.000905909773876898
"Setd6",-0.239938237503363,0.00955131422222275
"Hephl1",-3.52402049968402,0.00100116836521132
"Ldhd",-0.287989751619992,0.00845073445881755
"Ilf3",0.144240493888105,0.00406382644587749
"Sltm",-0.348939547307324,0.00815059392943373
"Tinag",-2.21501864487446,0.0018844350957591
"Me1",-0.584853986248688,6.50949231636507e-06
"Ngp",18.3553990514604,4.14731107393158e-07
"Flcn",-0.294750108538349,0.002879901626474
"Heyl",0.577023900497008,0.00186770410933853
"Entpd6",-0.391230507024126,0.00564530806434249
"Recql4",-0.415302466287315,0.00432342847964354
"Usp36",-0.253000960984816,0.00164121897546887
"Ccl5",-1.5805742220243,0.000191127051435699
"Fbxo33",-0.208900266993145,0.00224609707683639
"Thrsp",-1.55732543861741,0.000430443335052096
"Nme5",0.588952257806703,0.00311069614606455
"Zfp39",0.245090559103108,0.00852049055214848
"Psd",-0.465847697135354,0.0066218995743311
"Stag1",0.232939381356744,0.00536217599898686
"Trmt6",-0.149053843715919,0.00610916330012249
"Wdr19",0.274333378552628,0.00939167362795503
"Dhx38",0.166973215376131,0.00728543933354846
"Gdf15",-1.01788118802557,0.00738895664037935
"Akap12",0.368722773085525,0.00131948378427295
"Abcf1",-0.173318337193634,0.000960230193357032
"Kat7",0.169055583151074,0.00309708396306751
"Eme1",-1.20104857795774,0.00525276187782062
"Polg",-0.144379346421361,0.00855948465999673
"Wdr70",-0.172823405733122,0.00894531436624682
"Pnrc1",-0.189689856057379,0.00448442442206305
"Klhdc4",-0.241076650757221,0.00769031323348451
"Gm15429",0.758192694704117,0.00996409209858727
