"Subset","Detail","HFDvsSD_log2FoldChange","HFDvsSD_pvalue","KDvsSD_log2FoldChange","KDvsSD_pvalue","KDvsHFD_log2FoldChange","KDvsHFD_pvalue"
"Shared","C130026I21Rik",1.38327428407055,0.00326958135355824,-1.71191795000453,0.000591470384834378,-3.09519223407508,1.9355956497904e-10
"KDvsSD_KDvsHFD","Icam4",NA,NA,0.96290430468756,0.00430152805679923,0.898339416696484,0.00708662125927395
"KDvsSD_KDvsHFD","Plin5",NA,NA,1.29663471909127,0.00298364343982615,1.31006320347137,0.00269794195972195
"KDvsSD_KDvsHFD","E2f3",NA,NA,-0.295398669332254,0.000132086446658094,-0.310063476119707,5.83275147293148e-05
"KDvsSD_KDvsHFD","Ahrr",NA,NA,0.953688460697456,0.00382269091062657,0.920818043246314,0.00507143881667326
"KDvsSD_KDvsHFD","Mzb1",NA,NA,-1.96870582922669,0.00904899072152559,-2.46771618273902,0.000969472441574138
"KDvsSD_KDvsHFD","Gnal",NA,NA,0.47814180581845,0.00604841557079495,0.503119365862777,0.00388080303711417
"KDvsSD_KDvsHFD","Adam8",NA,NA,-1.5268844143979,0.00248297489262352,-1.97062019658791,9.27299572989766e-05
"KDvsSD_KDvsHFD","Slc27a2",NA,NA,2.66299476348148,0.00100499052298137,2.66659466356452,0.000983874985203458
"KDvsSD_KDvsHFD","Gys2",NA,NA,-2.19807746595936,8.66544793167152e-05,-1.91474407693144,0.000643096322682169
"KDvsSD_KDvsHFD","Zcchc13",NA,NA,-3.17327230607512,0.00103068462135453,-2.90842987466637,0.00289760109233122
"KDvsSD_KDvsHFD","Tti2",NA,NA,0.234349844980208,0.000905909773876898,0.218666995624262,0.00192611504998645
"KDvsSD_KDvsHFD","Hephl1",NA,NA,-3.52402049968402,0.00100116836521132,-3.96674994920243,0.000206038291910168
"KDvsSD_KDvsHFD","Gdf15",NA,NA,-1.01788118802557,0.00738895664037935,-1.10214755236847,0.00353790964587926
"KDvsSD_KDvsHFD","Atp1a3",NA,NA,-1.70811367208941,2.66747375591962e-05,-1.40028948769774,0.000585117628626792
