"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID"
"GO:0048661","positive regulation of smooth muscle cell proliferation",122,9,0.0737704918032787,8.60497091485986,7.82751591510447,1.13711335743876e-06,0.00012939766872598,"Hmox1,Mmp9,Myb,Elane,Bmp4,Vegfa,Aif1,Smpd3,Ptgs2"
"GO:0042098","T cell proliferation",246,12,0.0487804878048781,5.69000786782061,6.86948807250495,1.60957521846689e-06,0.000159340494345449,"Ebi3,Ptpn6,Irf1,Bmp4,Btnl2,Aif1,Cd6,Rasgrp1,Itgal,Rac2,Ccdc88b,Lgals3"
"GO:0016042","lipid catabolic process",348,14,0.0402298850574713,4.69262143121987,6.44438176903342,2.14163033897399e-06,0.000190091108887331,"Pla1a,Plin5,Pik3cg,Acot2,Ehhadh,Echs1,Pnpla2,Prdx6,Smpd3,Enpp6,Acacb,Hcar2,Ces1d,Gdpd1"
"GO:0007159","leukocyte cell-cell adhesion",434,15,0.0345622119815668,4.03151479114018,5.9171940385618,5.90284431802504e-06,0.000436613718056586,"Ptpn6,Irf1,Elane,Bmp4,Btnl2,Aif1,Cd6,Rasgrp1,Actb,Itgal,Rac2,Vnn1,Ccdc88b,Lgals3,Il1rl2"
"GO:0046651","lymphocyte proliferation",336,13,0.0386904761904762,4.51305683563748,6.02310607659771,7.55618422242416e-06,0.000532291199668546,"Ebi3,Ptpn6,Irf1,Bmp4,Btnl2,Aif1,Cd6,Rasgrp1,Itgal,Rac2,Ccdc88b,Lgals3,Ighd"
"GO:0002366","leukocyte activation involved in immune response",339,13,0.0383480825958702,4.47311827956989,5.98146967471974,8.30956256551157e-06,0.000553447580015222,"Ccl3,Ptpn6,Hmox1,Irf1,Myb,Irf4,Rasgrp1,Pagr1a,Itgal,Lamp1,Rac2,Lgals3,Mrgprb1"
"GO:1903037","regulation of leukocyte cell-cell adhesion",393,14,0.0356234096692112,4.15529836657638,5.85646745324712,8.62424207886835e-06,0.000553447580015222,"Ptpn6,Irf1,Elane,Bmp4,Btnl2,Aif1,Cd6,Rasgrp1,Actb,Itgal,Vnn1,Ccdc88b,Lgals3,Il1rl2"
"GO:0090209","negative regulation of triglyceride metabolic process",16,4,0.25,29.1612903225806,10.4775909238475,8.84905888054169e-06,0.000553447580015222,"Plin5,Srebf1,Pik3cg,Nr1h4"
"GO:0051047","positive regulation of secretion",451,15,0.0332594235033259,3.8795508189686,5.7313095500496,9.32231599223919e-06,0.000553447580015222,"Cadps2,Myb,Rab27b,Aacs,Tfr2,Sytl2,Stx1b,Lamp1,Smpd3,Slc18a1,Hcar2,Nr1h4,Lgals3,Mmp13,Prkcb"
"GO:0002263","cell activation involved in immune response",343,13,0.0379008746355685,4.42095363491019,5.92670232082933,9.4167641009123e-06,0.000553447580015222,"Ccl3,Ptpn6,Hmox1,Irf1,Myb,Irf4,Rasgrp1,Pagr1a,Itgal,Lamp1,Rac2,Lgals3,Mrgprb1"
"GO:0032943","mononuclear cell proliferation",343,13,0.0379008746355685,4.42095363491019,5.92670232082933,9.4167641009123e-06,0.000553447580015222,"Ebi3,Ptpn6,Irf1,Bmp4,Btnl2,Aif1,Cd6,Rasgrp1,Itgal,Rac2,Ccdc88b,Lgals3,Ighd"
"GO:0033002","muscle cell proliferation",293,12,0.0409556313993174,4.77727623032038,6.042990714031,9.62903708395854e-06,0.000553447580015222,"Cnn1,Hmox1,Gata6,Mmp9,Myb,Elane,Bmp4,Zfpm2,Vegfa,Aif1,Smpd3,Ptgs2"
"GO:0050863","regulation of T cell activation",397,14,0.035264483627204,4.11343138051515,5.80850034643155,9.6650077050986e-06,0.000553447580015222,"Ptpn6,Irf1,Bmp4,Btnl2,Aif1,Cd6,Rasgrp1,Actb,Itgal,Rac2,Vnn1,Ccdc88b,Lgals3,Il1rl2"
"GO:0042129","regulation of T cell proliferation",200,10,0.05,5.83225806451613,6.37676461216348,9.67912548306312e-06,0.000553447580015222,"Ptpn6,Irf1,Bmp4,Btnl2,Aif1,Cd6,Itgal,Rac2,Ccdc88b,Lgals3"
"GO:0048660","regulation of smooth muscle cell proliferation",201,10,0.0497512437810945,5.80324185523993,6.35441114465896,1.01102381091162e-05,0.000553447580015222,"Cnn1,Hmox1,Mmp9,Myb,Elane,Bmp4,Vegfa,Aif1,Smpd3,Ptgs2"
"GO:0006887","exocytosis",399,14,0.0350877192982456,4.09281267685342,5.78475213215448,1.02259354576945e-05,0.000553447580015222,"Ccl3,Hck,Hmox1,Cadps2,P2rx1,Rab27b,Rasgrp1,Sytl2,Stx1b,Lamp1,Smpd3,Rac2,Prkcb,Mrgprb1"
"GO:1903532","positive regulation of secretion by cell",399,14,0.0350877192982456,4.09281267685342,5.78475213215448,1.02259354576945e-05,0.000553447580015222,"Cadps2,Myb,Rab27b,Aacs,Tfr2,Stx1b,Lamp1,Smpd3,Slc18a1,Hcar2,Nr1h4,Lgals3,Mmp13,Prkcb"
"GO:0014074","response to purine-containing compound",163,9,0.0552147239263804,6.44053037799327,6.47725235113421,1.22978517769851e-05,0.000636366007520795,"Gata6,Srebf1,Pik3cg,P2rx1,Pfkfb1,Tmem38b,Chek1,Ptgs2,Akap7"
"GO:0006790","sulfur compound metabolic process",352,13,0.0369318181818182,4.30791788856305,5.80648486690239,1.23951792084012e-05,0.000636366007520795,"Gnmt,Sqor,Slc5a6,Acot2,Ehhadh,Csad,Chst1,Tdo2,Vnn1,Pdk2,Acacb,Ces1d,Hs3st3b1"
"GO:0048659","smooth muscle cell proliferation",210,10,0.0476190476190476,5.55453149001536,6.1597661606146,1.47966718075223e-05,0.000729640327575379,"Cnn1,Hmox1,Mmp9,Myb,Elane,Bmp4,Vegfa,Aif1,Smpd3,Ptgs2"
"GO:0050670","regulation of lymphocyte proliferation",259,11,0.0424710424710425,4.95404159920289,5.943917987311,1.62052300791497e-05,0.000779271196192667,"Ptpn6,Irf1,Bmp4,Btnl2,Aif1,Cd6,Itgal,Rac2,Ccdc88b,Lgals3,Ighd"
"GO:0032944","regulation of mononuclear cell proliferation",264,11,0.0416666666666667,4.86021505376344,5.85912860402411,1.93437591196059e-05,0.000885026834771246,"Ptpn6,Irf1,Bmp4,Btnl2,Aif1,Cd6,Itgal,Rac2,Ccdc88b,Lgals3,Ighd"
