"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","ko","Level3","Level2","Level1"
"05222","Small cell lung cancer",94,7,0.074468085106383,4.43022702959705,4.36762022743276,0.00100896969072197,0.224937075264019,"Ikbkg,Lama2,Traf3,Rb1,Myc,Fn1,Lamc1","05222","Small cell lung cancer","Cancer: specific types","Human Diseases"
"04974","Protein digestion and absorption",108,7,0.0648148148148148,3.85593834057521,3.90038065519931,0.00225913574072086,0.224937075264019,"Col6a1,Atp1a4,Col6a2,Col5a2,Col15a1,Col6a3,Slc8a1","04974","Protein digestion and absorption","Digestive system","Organismal Systems"
"00511","Other glycan degradation",18,3,0.166666666666667,9.91527001862197,4.94960897647765,0.00316444699912345,0.224937075264019,"Man2b2,Aga,Glb1","00511","Other glycan degradation","Glycan biosynthesis and metabolism","Metabolism"
"04512","ECM-receptor interaction",89,6,0.0674157303370786,4.01067101876844,3.72918168057422,0.00380686635860678,0.224937075264019,"Col6a1,Lama2,Col6a2,Fn1,Lamc1,Col6a3","04512","ECM-receptor interaction","Signaling molecules and interaction","Environmental Information Processing"
"04518","Integrin signaling",153,8,0.0522875816993464,3.11067294701866,3.43828556541923,0.00426415344132498,0.224937075264019,"Col6a1,Lama2,Col6a2,C3,Fn1,Lamc1,Src,Col6a3","04518","Integrin signaling","Signaling molecules and interaction","Environmental Information Processing"
"04610","Complement and coagulation cascades",94,6,0.0638297872340425,3.79733745394033,3.56177813927968,0.00498015664791187,0.224937075264019,"C6,C3,Serpine1,Cfi,Serpina1a,C4b","04610","Complement and coagulation cascades","Immune system","Organismal Systems"
"04820","Cytoskeleton in muscle cells",233,10,0.0429184549356223,2.55328841681253,3.13448917561411,0.00596728740539231,0.231019269551616,"Col6a1,Nid1,Atp1a4,Lama2,Col6a2,Col5a2,Fn1,Pkp2,Col6a3,Fbln2","04820","Cytoskeleton in muscle cells","Cell motility","Cellular Processes"
"04510","Focal adhesion",202,9,0.0445544554455446,2.65061673765142,3.09680120928486,0.00706260119610774,0.23924561551815,"Col6a1,Lama2,Col6a2,Shc2,Fn1,Lamc1,Src,Emp1,Col6a3","04510","Focal adhesion","Cellular community - eukaryotes","Cellular Processes"
"05100","Bacterial invasion of epithelial cells",77,5,0.0649350649350649,3.86309221504752,3.29677506930631,0.00945764075808585,0.284780071715696,"Arpc2,Shc2,Fn1,Dnm1,Src","05100","Bacterial invasion of epithelial cells","Infectious disease: bacterial","Human Diseases"
"04978","Mineral absorption",55,4,0.0727272727272727,4.32666328085322,3.23405499563949,0.0135240073235887,0.366500598469254,"Atp1a4,Cybrd1,Slc8a1,Slc31a1","04978","Mineral absorption","Digestive system","Organismal Systems"
"00561","Glycerolipid metabolism",63,4,0.0634920634920635,3.7772457213798,2.89071870163746,0.0213115811037422,0.525039861737648,"Glyctk,Dgat2,Mogat2,Dgkk","00561","Glycerolipid metabolism","Lipid metabolism","Metabolism"
"00051","Fructose and mannose metabolism",37,3,0.0810810810810811,4.8236448739242,3.04626013470971,0.0238809448708448,0.539311338333246,"Pfkl,Pfkfb3,Fcsk","00051","Fructose and mannose metabolism","Carbohydrate metabolism","Metabolism"
"05219","Bladder cancer",41,3,0.0731707317073171,4.35304537402916,2.81256002050041,0.0312132491989201,0.650676194839027,"Rb1,Myc,Src","05219","Bladder cancer","Cancer: specific types","Human Diseases"
"05203","Viral carcinogenesis",228,8,0.0350877192982456,2.08742526707831,2.17019791225555,0.0386338173888303,0.702411099935174,"Ikbkg,Hdac9,Ranbp1,Traf3,Rb1,C3,Src,H2-Q10","05203","Viral carcinogenesis","Cancer: overview","Human Diseases"
"05220","Chronic myeloid leukemia",76,4,0.0526315789473684,3.13113790061746,2.43784690440211,0.0388788431698436,0.702411099935174,"Ikbkg,Shc2,Rb1,Myc","05220","Chronic myeloid leukemia","Cancer: specific types","Human Diseases"
"04151","PI3K-Akt signaling pathway",368,11,0.0298913043478261,1.77828212290503,1.98669171419113,0.0462209484309039,0.7207321525614,"Col6a1,Ikbkg,Lama2,Col6a2,Myc,Fn1,Lamc1,Ret,Fgf21,Col6a3,Ntrk2","04151","PI3K-Akt signaling pathway","Signal transduction","Environmental Information Processing"
"04066","HIF-1 signaling pathway",117,5,0.0427350427350427,2.54237692785179,2.19338678026958,0.0472240042627853,0.7207321525614,"Pfkl,Pfkfb3,Mknk1,Vhl,Serpine1","04066","HIF-1 signaling pathway","Signal transduction","Environmental Information Processing"
"00531","Glycosaminoglycan degradation",21,2,0.0952380952380952,5.6658685820697,2.79835992540567,0.0478715082882111,0.7207321525614,"Naglu,Glb1","00531","Glycosaminoglycan degradation","Glycan biosynthesis and metabolism","Metabolism"
